novel,year_star,year_end,time,TV,name_music,artist_music,obs
A Gata Comeu,1985,1985,18h,Globo,I SHOULD´VE KNOWN BETTER,Jim Diamond,tema de Lenita e Edson
A Gata Comeu,1985,1985,18h,Globo,THE HEAT IS ON,Glenn Frey,tema de Tito e Babi
A Gata Comeu,1985,1985,18h,Globo,CRAZY FOR YOU,Madonna,tema de Alice
A Gata Comeu,1985,1985,18h,Globo,SMOOTH OPERATOR,Sade *,
A Gata Comeu,1985,1985,18h,Globo,EVERYTHING I NEED,Men at Work,tema de Fábio
A Gata Comeu,1985,1985,18h,Globo,HEAVEN,Bryan Adams,tema de Babi e Zé Mário
A Gata Comeu,1985,1985,18h,Globo,DILLO TU,Fred Bongusto,tema de Vitório e Ivete
A Gata Comeu,1985,1985,18h,Globo,BRASILEIRO TRAIN,Naima & Papagayo,tema de Oscar
A Gata Comeu,1985,1985,18h,Globo,I WAS BORN TO LOVE YOU,Freddie Mercury,tema de Tony
A Gata Comeu,1985,1985,18h,Globo,EVERYTIME YOU GO AWAY,Paul Young,tema de Paula
A Gata Comeu,1985,1985,18h,Globo,JUST ANOTHER NIGHT,Mick Jagger,tema de Jô
A Gata Comeu,1985,1985,18h,Globo,FOREVER BY YOUR SIDE,Manhattans,tema de Jô e Fábio
A Gata Comeu,1985,1985,18h,Globo,WE CAN CHANGE THE WORLD,Tremendo,tema das crianças
A Gata Comeu,1985,1985,18h,Globo,LOVELY LOVE,Terry Winter e Silvia Massari,tema de Vicente e Zazá
A Gata Comeu,1985,1985,18h,Globo,CARIBE,W. White,tema de Gláucia
