novel,year_star,year_end,time,TV,name_music,artist_music,obs
A Gata Comeu,1985,1985,18h,Globo,SÓ PRA O VENTO,Ritchie,tema de Jô
A Gata Comeu,1985,1985,18h,Globo,CHORO,Fábio Jr.,tema de Edson
A Gata Comeu,1985,1985,18h,Globo,"AMIGO DO SOL, AMIGO DA LUA",Benito Di Paula,tema de Fábio e seus alunos
A Gata Comeu,1985,1985,18h,Globo,SEU NOME,Biafra,tema de Paula
A Gata Comeu,1985,1985,18h,Globo,CANÇÃO DE BÚZIOS,Sandra Sá,tema de Ivete
A Gata Comeu,1985,1985,18h,Globo,DOCE PECADO,Santa Cruz,tema de Jô
A Gata Comeu,1985,1985,18h,Globo,COMEU,Magazine,tema de abertura
A Gata Comeu,1985,1985,18h,Globo,EU QUERIA TER UMA BOMBA,Barão Vermelho,tema de Rafael
A Gata Comeu,1985,1985,18h,Globo,SONHO BLUE,Liliane,tema de Jô
A Gata Comeu,1985,1985,18h,Globo,TIPO ONE WAY,Ciclone,tema de Babi e Tito
A Gata Comeu,1985,1985,18h,Globo,SOLIDÃO VAI,Hyldon,tema de Martinho
A Gata Comeu,1985,1985,18h,Globo,FORA DE PRUMO,Sérgio Sá,tema de Zé Mário
A Gata Comeu,1985,1985,18h,Globo,MANIA,Lápis de Cor,tema de Babi
A Gata Comeu,1985,1985,18h,Globo,DAMA E VAGABUNDO,Danilo,tema de Lenita e Edson
