novel,year_star,year_end,time,TV,name_music,artist_music,obs
As Três Marias,1980,1981,18h,Globo,MENINAS DO BRASIL,Moraes Moreira,tema geral
As Três Marias,1980,1981,18h,Globo,CICATRIZES,Joanna,tema de Jandira
As Três Marias,1980,1981,18h,Globo,RUA RAMALHETE,Tavito,tema de Guta e Raul
As Três Marias,1980,1981,18h,Globo,BONS VENTOS,João Nogueira,tema geral
As Três Marias,1980,1981,18h,Globo,CORAÇÃO,Glória Pires,tema de Jô
As Três Marias,1980,1981,18h,Globo,CANÇÃO DE VERÃO,Roupa Nova,tema de Lucas
As Três Marias,1980,1981,18h,Globo,EU E A BRISA,Baby Consuêlo,tema de abertura
As Três Marias,1980,1981,18h,Globo,TRÊS MARIAS,Olívia Hime,tema geral
As Três Marias,1980,1981,18h,Globo,TWO KITES,Tom Jobim,tema de Júlia
As Três Marias,1980,1981,18h,Globo,ALL OF ME,Miucha,tema de Aluísio
As Três Marias,1980,1981,18h,Globo,SEXTO SENTIDO,Fafá de Belém,tema de Alzira
As Três Marias,1980,1981,18h,Globo,TANTO QUE APRENDI DE AMOR,Fátima Guedes,tema de Glória
As Três Marias,1980,1981,18h,Globo,FONTE DA SAUDADE,Kleiton e Kledir,tema de Glória e Afonso
As Três Marias,1980,1981,18h,Globo,CASO DE AMOR,Terezinha de Jesus,tema de Guta e Davi
