novel,year_star,year_end,time,TV,name_music,artist_music,obs
Baila Comigo,1981,1981,20h,Globo,WITHOUT YOUR LOVE,Roger Daltrey,tema de Joana
Baila Comigo,1981,1981,20h,Globo,9 TO 5,Dolly Parton,
Baila Comigo,1981,1981,20h,Globo,LIVING INSIDE MYSELF,Gino Vannelli,tema de Débora e Caê
Baila Comigo,1981,1981,20h,Globo,CRYING,Don McLean,tema de Helena
Baila Comigo,1981,1981,20h,Globo,EXPLOSION,I. C. Bell,
Baila Comigo,1981,1981,20h,Globo,ANGEL OF MINE,Frank Duval,tema de Ondina e Edmundo
Baila Comigo,1981,1981,20h,Globo,AS TIME GOES BY,George Reagan Orchestra,tema de Silvia e Quim
Baila Comigo,1981,1981,20h,Globo,REALITY,Richard Sanderson,tema de Mira e João Victor
Baila Comigo,1981,1981,20h,Globo,SANTA MARIA,Newton Family,
Baila Comigo,1981,1981,20h,Globo,TIME,The Alan Parsons Project,tema de Lúcia e Quinzinho
Baila Comigo,1981,1981,20h,Globo,LET’S HANG ON,Salazar,
Baila Comigo,1981,1981,20h,Globo,COME BACK TO ME,"Leslie, Kelly & John Ford Coley",tema de Lia e Saulo
Baila Comigo,1981,1981,20h,Globo,WHAT’S IN A KISS,Gilbert O’Sullivan,
Baila Comigo,1981,1981,20h,Globo,LOSING SLEEP OVER YOU,Patrick Hernandez,
