novel,year_star,year_end,time,TV,name_music,artist_music,obs
Baila Comigo,1981,1981,20h,Globo,O LADO QUENTE DO SER,Maria Bethânia,tema de Lúcia
Baila Comigo,1981,1981,20h,Globo,DEIXA CHOVER,Guilherme Arantes,tema de Joana
Baila Comigo,1981,1981,20h,Globo,LUA E ESTRELA,Caetano Veloso,tema de Mira
Baila Comigo,1981,1981,20h,Globo,CORAÇÕES A MIL,Marina,tema de Caê
Baila Comigo,1981,1981,20h,Globo,LOUCURA,Cauby Peixoto,tema de Mauro e Paula
Baila Comigo,1981,1981,20h,Globo,PANO DE FUNDO,Fafá de Belém,tema de Silvia
Baila Comigo,1981,1981,20h,Globo,BAILA COMIGO,Robson Jorge e Lincoln Olivetti,tema de abertura
Baila Comigo,1981,1981,20h,Globo,VIAJANTE,Ney Matogrosso,tema de João Victor
Baila Comigo,1981,1981,20h,Globo,VIDA,Beth Goulart,tema de Helena
Baila Comigo,1981,1981,20h,Globo,BICHO NO CIO,Marcos Valle,tema de Joana
Baila Comigo,1981,1981,20h,Globo,RIO SINAL VERDE,Júnior Mendes,tema de Quinzinho
Baila Comigo,1981,1981,20h,Globo,VIRA VIROU,Kleiton e Kledir,tema de João Victor
Baila Comigo,1981,1981,20h,Globo,RAPTE-ME CAMALEOA,Naila Skorpio,tema de Zu
