novel,year_star,year_end,time,TV,name_music,artist_music,obs
Bambolê,1987,1988,18h,Globo,CONQUISTADOR BARATO,Léo Jaime,tema de abertura
Bambolê,1987,1988,18h,Globo,AN AFFAIR TO REMEMBER (OUR LOVE AFFAIR),Nat King Cole,tema de Ana e Luís Fernando
Bambolê,1987,1988,18h,Globo,VOCÊ,Dick Farney e Norma Benguell,tema de Marta
Bambolê,1987,1988,18h,Globo,(YOU’VE GOT) PERSONALITY,Lloyd Price,tema de Yolanda
Bambolê,1987,1988,18h,Globo,DESAFINADO,Gal Costa,tema de Álvaro
Bambolê,1987,1988,18h,Globo,YOU ARE MY DESTINY,Paul Anka,tema de Luís Fernando
Bambolê,1987,1988,18h,Globo,COISA MAIS LINDA,Caetano Veloso,tema de Ana
Bambolê,1987,1988,18h,Globo,LA VIE EN ROSE,Louis Armstrong,tema de Mumu
Bambolê,1987,1988,18h,Globo,IN THE MOOD,The Glenn Miller Orchestra,tema de Fausta
Bambolê,1987,1988,18h,Globo,EU SEI QUE VOU TE AMAR,Carla Daniel,tema de Álvaro e Marta
Bambolê,1987,1988,18h,Globo,"MACK, THE KNIFE",Bobby Darin,tema de Glória Müller e Beth Nigri
Bambolê,1987,1988,18h,Globo,FESTA DO AMOR,Patrícia Marques,tema de Cristina
Bambolê,1987,1988,18h,Globo,THE GREAT PRETENDER,The Platters,tema de Pronto e Amália
Bambolê,1987,1988,18h,Globo,ELA É CARIOCA / RIO / GAROTA DE IPANEMA,Roberto Menescal,tema do núcleo de Ipanema
Bambolê,1987,1988,18h,Globo,JAILHOUSE ROCK,Elvis Presley,tema de Murilo
Bambolê,1987,1988,18h,Globo,CANTA BRASIL,Ângela Maria,
