novel,year_star,year_end,time,TV,name_music,artist_music,obs
Bebê a Bordo,1988,1989,19h,Globo,I DON’T WANT TO GO ON WITH YOU LIKE THAT,Elton John,tema de Rico
Bebê a Bordo,1988,1989,19h,Globo,BUILD,Housemartins,tema de Ana
Bebê a Bordo,1988,1989,19h,Globo,"1, 2, 3",Gloria Estefan & Miami Sound Machine,
Bebê a Bordo,1988,1989,19h,Globo,I WONDER WHO SHE’S SEEING NOW,Temptations,
Bebê a Bordo,1988,1989,19h,Globo,LE BAL MASQUÉ,La Compagnie Créole,
Bebê a Bordo,1988,1989,19h,Globo,SO LONG,Eddy Benedict (Edinho Santa Cruz),tema de Sininho
Bebê a Bordo,1988,1989,19h,Globo,DOWNTOWN LIFE,Daryl Hall & John Oates,tema de Rei
Bebê a Bordo,1988,1989,19h,Globo,I DON’T WANT TO LIVE WITHOUT YOU,Foreigner,tema de Tonico e Ângela
Bebê a Bordo,1988,1989,19h,Globo,I’M NO REBEL,View From the Hill,tema de Raio de Luar
Bebê a Bordo,1988,1989,19h,Globo,NO PAIN (NO GAIN),Betty Wright,tema de Gilda
Bebê a Bordo,1988,1989,19h,Globo,STRANGELOVE,Depeche Mode,tema geral
Bebê a Bordo,1988,1989,19h,Globo,QU’EST-CE QUE TU FAIS?,Formule II,tema da lambateria
Bebê a Bordo,1988,1989,19h,Globo,NEVER TEARS US APART,INXS,tema de Rei e Raio de Luar
Bebê a Bordo,1988,1989,19h,Globo,ELECTRICA SALSA,Off (Sven Väth),tema de Ângela e Tonhão
