novel,year_star,year_end,time,TV,name_music,artist_music,obs
Bebê a Bordo,1988,1989,19h,Globo,MORDIDA DE AMOR,Yahoo,tema de Ângela
Bebê a Bordo,1988,1989,19h,Globo,ADORO,Léo Jaime,tema de Ana e Zezinho
Bebê a Bordo,1988,1989,19h,Globo,QUASE NÃO DÁ PARA SER FELIZ,Dalto,tema de Ana
Bebê a Bordo,1988,1989,19h,Globo,PRECISO DIZER QUE TE AMO,Marina,tema de Ana e Tonico
Bebê a Bordo,1988,1989,19h,Globo,O BECO,Os Paralamas do Sucesso,tema de Rico e Rei
Bebê a Bordo,1988,1989,19h,Globo,RENDEZ VOUS,Carla Daniel,tema de Rei e Raio de Luar
Bebê a Bordo,1988,1989,19h,Globo,AS BRUXAS,Beto Saroldi,tema das cenas de ação
Bebê a Bordo,1988,1989,19h,Globo,AMOR BANDIDO,Joanna,tema de Ester
Bebê a Bordo,1988,1989,19h,Globo,DE IGUAL PRA IGUAL,José Augusto,tema de Soninha
Bebê a Bordo,1988,1989,19h,Globo,ME AME OU ME DEIXE,Wanderléia,tema de Branca
Bebê a Bordo,1988,1989,19h,Globo,VIVER E REVIVER,Gal Costa,tema de Liminha
Bebê a Bordo,1988,1989,19h,Globo,RONDA,Emílio Santiago,tema de Laura
Bebê a Bordo,1988,1989,19h,Globo,ME DÁ UM ALÔ,Solange,tema de Glória
Bebê a Bordo,1988,1989,19h,Globo,AMOR E BOMBAS,Eduardo Dussek,tema de abertura
