novel,year_star,year_end,time,TV,name_music,artist_music,obs
Bebê a Bordo,1988,1989,19h,Globo,ODÉ E ADÃO,Luiz Caldas,
Bebê a Bordo,1988,1989,19h,Globo,KIRICA NA BUSSANHA,Gerônimo,
Bebê a Bordo,1988,1989,19h,Globo,UMA HISTÓRIA DE IFÁ (EJIGBÔ),Margareth Menezes,
Bebê a Bordo,1988,1989,19h,Globo,LÁ VAI O TRIO,Banda Tomalira,
Bebê a Bordo,1988,1989,19h,Globo,TE AMO (THE RETURN OF LEROY PT.1),Ademar e Furta Cor,
Bebê a Bordo,1988,1989,19h,Globo,BAGDÁ,Banda Mel,
Bebê a Bordo,1988,1989,19h,Globo,VAI LÁ MANÉ,Chiclete com Banana,
Bebê a Bordo,1988,1989,19h,Globo,JEITO DE CORPO,Banda Cheiro de Amor,
Bebê a Bordo,1988,1989,19h,Globo,CARAMBA,Missinho,
Bebê a Bordo,1988,1989,19h,Globo,ISSO É BOM (CUISSE LÁ),Avatar,
Bebê a Bordo,1988,1989,19h,Globo,VEM VER (YO VOUAI OU),Fogo Baiano,
Bebê a Bordo,1988,1989,19h,Globo,RALA-COXA,Djalma Oliveira,
Bebê a Bordo,1988,1989,19h,Globo,SHAULIN-NAGÔ,Sarajane,
Bebê a Bordo,1988,1989,19h,Globo,LIBERTEM MANDELA,Banda Reflexu’s,
Bebê a Bordo,1988,1989,19h,Globo,BUNDA LÊ-LÊ,Os Paralamas do Sucesso,
