novel,year_star,year_end,time,TV,name_music,artist_music,obs
Brega e Chique,1987,1987,19h,Globo,EVERYTHING I OWN,Boy George,tema romântico geral
Brega e Chique,1987,1987,19h,Globo,LET’S WAIT A WHILE,Janet Jackson,tema de Tamyris
Brega e Chique,1987,1987,19h,Globo,MUSIC,F. R. David,tema de Zilda
Brega e Chique,1987,1987,19h,Globo,NO PROMISES,Ice House,
Brega e Chique,1987,1987,19h,Globo,WHAT DO WE MEAN TO EACH OTHER?,Sérgio Mendes,tema de Silvana
Brega e Chique,1987,1987,19h,Globo,IS THIS LOVE?,Whitesnake,tema de Bruno e Mercedes
Brega e Chique,1987,1987,19h,Globo,NOW AND FOREVER,Jimmy Cliff,
Brega e Chique,1987,1987,19h,Globo,SOMEWHERE OUT THERE,Linda Ronstadt and James Ingram,tema de Rosemere
Brega e Chique,1987,1987,19h,Globo,I WANT YOUR SEX,George Michael,tema de Bruno
Brega e Chique,1987,1987,19h,Globo,IN TOO DEEP,Genesis,tema de Rafaela
Brega e Chique,1987,1987,19h,Globo,HEAD TO TOE,Lisa Lisa & The Cult Jam,
Brega e Chique,1987,1987,19h,Globo,C’EST LA VIE,Robbie Nevil,
Brega e Chique,1987,1987,19h,Globo,GLAD TO KNOW (THAT YOU’RE THE ONE),Malcolm Roberts,
Brega e Chique,1987,1987,19h,Globo,INFIDELITY,Simply Red,
