novel,year_star,year_end,time,TV,name_music,artist_music,obs
Brega e Chique,1987,1987,19h,Globo,PEGA RAPAZ,Rita Lee & Roberto de Carvalho,tema de Rosemere e Baltazar
Brega e Chique,1987,1987,19h,Globo,SEM PESO E SEM MEDIDA,Fábio Jr.,tema de Vânia e Teddy
Brega e Chique,1987,1987,19h,Globo,PRECISO APRENDER A SÓ SER,Caetano Veloso,tema de Rafaela
Brega e Chique,1987,1987,19h,Globo,UM PRO OUTRO,Lulu Santos,tema de Ana Cláudia
Brega e Chique,1987,1987,19h,Globo,CALEIDOSCÓPIO,Dulce Quental,tema de Tamyris
Brega e Chique,1987,1987,19h,Globo,COWBOY FORA DA LEI,Raul Seixas,tema de Bruno
Brega e Chique,1987,1987,19h,Globo,PELADO,Ultraje a Rigor,tema de abertura
Brega e Chique,1987,1987,19h,Globo,BLÁ-BLÁ-BLÁ… EU TE AMO,Lobão,tema de Zilda
Brega e Chique,1987,1987,19h,Globo,ATÉ O FIM,Verônica Sabino,tema de Silvana
Brega e Chique,1987,1987,19h,Globo,É TÃO BOM,Luiz Caldas (participação especial de Caetano Veloso),tema de Rosemere
Brega e Chique,1987,1987,19h,Globo,SINTO SAUDADE,Evandro Mesquita,tema de Mercedes
Brega e Chique,1987,1987,19h,Globo,CORAÇÃO DE JOVEM,Erasmo Carlos,tema de João Antônio
Brega e Chique,1987,1987,19h,Globo,LÁGRIMA DE AMOR,Beto Guedes,tema de Luís Paulo
Brega e Chique,1987,1987,19h,Globo,A ILHA,Léo Gandelman,tema de Rafaela e Montenegro
