novel,year_star,year_end,time,TV,name_music,artist_music,obs
Brilhante,1981,1982,20h,Globo,COMIN’ IN AND OUT OF YOUR LIFE,Barbra Streisand,tema de Maria Isabel
Brilhante,1981,1982,20h,Globo,DO YOU MISS ME,Morris Albert,tema de Edite
Brilhante,1981,1982,20h,Globo,HURT,Carly Simon,tema de Leonor
Brilhante,1981,1982,20h,Globo,GOOD TIME TONIGHT,Kool & The Gang *,
Brilhante,1981,1982,20h,Globo,QUEEN OF HEARTS,Linda Kooly *,
Brilhante,1981,1982,20h,Globo,IF LEAVING ME IS EASY,Phil Collins,tema de Fred e Marília
Brilhante,1981,1982,20h,Globo,LOVE GAMES,Ian and Christopher,
Brilhante,1981,1982,20h,Globo,SUGAR,Ronay,
Brilhante,1981,1982,20h,Globo,MURMURES,Richard Clayderman,
Brilhante,1981,1982,20h,Globo,YOU WEREN’T IN LOVE,Mike Fleetwood,
Brilhante,1981,1982,20h,Globo,OLD PHOTOGRAPHS,Jim Capaldi,
Brilhante,1981,1982,20h,Globo,LITTLE DARLING,Sheila,
Brilhante,1981,1982,20h,Globo,TAKE ME NOW,David Gates,tema de Luiza e Paulo César
Brilhante,1981,1982,20h,Globo,ANGELICA AND RAMONE,Secret Service,tema de Fred e Marília
Brilhante,1981,1982,20h,Globo,SONG OF LAURA,Sound Orchestra,
