novel,year_star,year_end,time,TV,name_music,artist_music,obs
Brilhante,1981,1982,20h,Globo,ME DEIXAS LOUCA,Elis Regina,tema de Luiza e Paulo César
Brilhante,1981,1982,20h,Globo,DANS MON ILE,Caetano Veloso,tema de Leonor
Brilhante,1981,1982,20h,Globo,MEU BEM MEU MAL,Gal Costa,tema de Maria Isabel
Brilhante,1981,1982,20h,Globo,MISTÉRIO,Ângela Ro Ro,
Brilhante,1981,1982,20h,Globo,DECISÃO,Joanna,
Brilhante,1981,1982,20h,Globo,LUIZA,Tom Jobim,tema de abertura
Brilhante,1981,1982,20h,Globo,NAQUELA NOITE COM YOKO,Simone,
Brilhante,1981,1982,20h,Globo,ACONTECÊNCIAS,Cláudio Nucci,tema de locação: Pantanal
Brilhante,1981,1982,20h,Globo,DE LEVE,Lulu Santos,tema de Fred
Brilhante,1981,1982,20h,Globo,DOCE DE CÔCO,Elizeth Cardoso,tema de Ernani e Alda
Brilhante,1981,1982,20h,Globo,LUZES E ESTRELAS,Edson e Terezinha,tema de Cissa
Brilhante,1981,1982,20h,Globo,CANÇÃO DA MANHÃ FELIZ,Nana Caymmi,
