novel,year_star,year_end,time,TV,name_music,artist_music,obs
Cambalacho,1986,1986,19h,Globo,PERIGOSA,Syndicatto,tema de Andréia
Cambalacho,1986,1986,19h,Globo,ARMANDO EU VOU,Cida Moreira,tema de Naná
Cambalacho,1986,1986,19h,Globo,JERÔNIMO,Germano Mathias (participação especial de Canto a Canto),tema de Jejê
Cambalacho,1986,1986,19h,Globo,PARECE MAS NÃO É,Carbono 14,tema de Ricky
Cambalacho,1986,1986,19h,Globo,ESTRELA DE BASTIDOR,Ângela Maria,tema de Lili Bolero
Cambalacho,1986,1986,19h,Globo,VILA CURIOSA,Passoca (participação especial de Papavento),tema de locação: Carandiru
Cambalacho,1986,1986,19h,Globo,CAMBALACHO,Wálter Queiróz,tema de abertura
Cambalacho,1986,1986,19h,Globo,FILHO DA CIDADE,Sérgio Dias,tema de Atos
Cambalacho,1986,1986,19h,Globo,SÓ EU SEI,Gilliard,tema de Ana Machadão
Cambalacho,1986,1986,19h,Globo,O GANSO QUE DANÇA,Zona Sul,tema de Thiago
Cambalacho,1986,1986,19h,Globo,JARDINS,A Voz do Brasil,tema de locação: Jardins
Cambalacho,1986,1986,19h,Globo,DEUS NOS ACUDA,Fundo de Quintal,tema de Vanderlei e Céci
Cambalacho,1986,1986,19h,Globo,ALGUÉM QUE OLHE POR MIM,Emílio Santhiago,tema de Amanda e Rogério
