novel,year_star,year_end,time,TV,name_music,artist_music,obs
Cambalacho,1986,1986,19h,Globo,THE CAPTAIN OF HER HEART,Double,tema de Thiago e Ana Machadão
Cambalacho,1986,1986,19h,Globo,BAD BOY,Miami Sound Machine,tema de locação: São Paulo
Cambalacho,1986,1986,19h,Globo,DON’T YOU LOVE ME ANYMORE,Joe Cocker,tema de Vanderlei e Céci
Cambalacho,1986,1986,19h,Globo,LET’S DANCE,Chris Rea,tema de Naná e Jejê
Cambalacho,1986,1986,19h,Globo,GREATEST LOVE OF ALL,Whitney Houston,tema de Amanda e Rogério
Cambalacho,1986,1986,19h,Globo,DON QUICHOTTE,Magazine 60,tema geral
Cambalacho,1986,1986,19h,Globo,SOMEBODY WON’T SLEEP TONIGHT,Frederick,
Cambalacho,1986,1986,19h,Globo,ON MY OWN,Patti LaBelle and Michael McDonald,tema de Portos e Julinha
Cambalacho,1986,1986,19h,Globo,SOMETHING ABOUT YOU,Level 42,tema de locação: São Paulo
Cambalacho,1986,1986,19h,Globo,MANIC MONDAY,Bangles,tema de Ana Machadão
Cambalacho,1986,1986,19h,Globo,CHERISH,Kool & The Gang,tema romântico geral
Cambalacho,1986,1986,19h,Globo,BETTER BE GOOD TO ME,Tina Turner,tema de Tina Pepper
Cambalacho,1986,1986,19h,Globo,ROUGH BOY,ZZ Top,tema das cenas de corrida de motocross
Cambalacho,1986,1986,19h,Globo,I’M LOOSING YOU,Ven-Uto,tema de Amanda e Aramis
