novel,year_star,year_end,time,TV,name_music,artist_music,obs
Chega Mais,1980,1980,19h,Globo,YOU AND I,Mireille Mathieu and Paul Anka,tema de Lúcia e Amaro
Chega Mais,1980,1980,19h,Globo,I CAN’T HELP MYSELF,Bonnie Pointer,
Chega Mais,1980,1980,19h,Globo,FEELING OLD FEELINGS,Dionne Warwick,tema de Léa
Chega Mais,1980,1980,19h,Globo,THREE TIMES LOVE,Tommy James,tema de Cristina e Roberto
Chega Mais,1980,1980,19h,Globo,EMOTIONS IN MY HEART,Chrystian,tema de Patrícia e Hércules
Chega Mais,1980,1980,19h,Globo,GOT TO LOVE SOMEBODY,Sister Sledge,
Chega Mais,1980,1980,19h,Globo,CLAIR DE FEMME,Jean Musy,tema de Gelly
Chega Mais,1980,1980,19h,Globo,I’D RATHER LEAVE WHILE I’M IN LOVE,Rita Coolidge,tema de Guto e Vilma
Chega Mais,1980,1980,19h,Globo,BETTER LOVE NEXT TIME,Dr. Hook,
Chega Mais,1980,1980,19h,Globo,WITH YOU I’M BORN AGAIN,Billy Preston & Syreeta Wright,tema de Tom e Gelly
Chega Mais,1980,1980,19h,Globo,A WALK IN THE PARK,Nick Straker Band,
Chega Mais,1980,1980,19h,Globo,GONNA GET ALONG WITHOUT YOU NOW,Viola Wills,
Chega Mais,1980,1980,19h,Globo,LET ME PARTY WITH YOU,Bunny Sigler,
Chega Mais,1980,1980,19h,Globo,YOU SET MY DREAMS TO MUSIC,John Travolta,tema de Norma
