novel,year_star,year_end,time,TV,name_music,artist_music,obs
Chega Mais,1980,1980,19h,Globo,XÔ GAFANHOTO,Beth Carvalho,tema de Guto
Chega Mais,1980,1980,19h,Globo,ABRI A PORTA,A Cor do Som,tema de Tom e Gelly
Chega Mais,1980,1980,19h,Globo,SAINDO DE MIM,Simone,tema de Lúcia
Chega Mais,1980,1980,19h,Globo,MENINO SEM JUIZO,Alcione,tema de Léa
Chega Mais,1980,1980,19h,Globo,AGITO E USO,Frenéticas,tema de Gelly
Chega Mais,1980,1980,19h,Globo,CHEGA MAIS,Rita Lee,tema de abertura
Chega Mais,1980,1980,19h,Globo,FALANDO DE AMOR,Ney Matogrosso,
Chega Mais,1980,1980,19h,Globo,TRILHOS URBANOS,Caetano Veloso,tema de Lúcia e Amaro
Chega Mais,1980,1980,19h,Globo,VAZIO,Roberto Ribeiro,tema de Cristina
Chega Mais,1980,1980,19h,Globo,PODE GUARDAR AS PANELAS,Paulinho da Viola,
Chega Mais,1980,1980,19h,Globo,SOLIDÃO,Agepê,
Chega Mais,1980,1980,19h,Globo,HOMENAGEM AO MALANDRO,Moreira da Silva,
Chega Mais,1980,1980,19h,Globo,LINHA DE PASSE,João Bosco,tema de Amaro
