novel,year_star,year_end,time,name_music,artist_music,obs
Chega Mais,1980,1980,19h,YOU AND I,Mireille Mathieu and Paul Anka,tema de Lúcia e Amaro
Chega Mais,1980,1980,19h,I CAN’T HELP MYSELF,Bonnie Pointer,
Chega Mais,1980,1980,19h,FEELING OLD FEELINGS,Dionne Warwick,tema de Léa
Chega Mais,1980,1980,19h,THREE TIMES LOVE,Tommy James,tema de Cristina e Roberto
Chega Mais,1980,1980,19h,EMOTIONS IN MY HEART,Chrystian,tema de Patrícia e Hércules
Chega Mais,1980,1980,19h,GOT TO LOVE SOMEBODY,Sister Sledge,
Chega Mais,1980,1980,19h,CLAIR DE FEMME,Jean Musy,tema de Gelly
Chega Mais,1980,1980,19h,I’D RATHER LEAVE WHILE I’M IN LOVE,Rita Coolidge,tema de Guto e Vilma
Chega Mais,1980,1980,19h,BETTER LOVE NEXT TIME,Dr,
Chega Mais,1980,1980,19h,WITH YOU I’M BORN AGAIN,Billy Preston & Syreeta Wright,tema de Tom e Gelly
Chega Mais,1980,1980,19h,A WALK IN THE PARK,Nick Straker Band,
Chega Mais,1980,1980,19h,GONNA GET ALONG WITHOUT YOU NOW,Viola Wills,
Chega Mais,1980,1980,19h,LET ME PARTY WITH YOU,Bunny Sigler,
Chega Mais,1980,1980,19h,YOU SET MY DREAMS TO MUSIC,John Travolta,tema de Norma
