novel,year_star,year_end,time,TV,name_music,artist_music,obs
Ciranda de Pedra 1981,1981,1981,18h,Globo,MONA LISA,Sandra Sá,tema de Virgínia
Ciranda de Pedra 1981,1981,1981,18h,Globo,EU VOU TER SEMPRE VOCÊ (YOU’LL NEVER KNOW),Antônio Marcos,tema de Virgínia e Eduardo
Ciranda de Pedra 1981,1981,1981,18h,Globo,DEZ ANOS (DIEZ AÑOS),Gal Costa,tema de Laura
Ciranda de Pedra 1981,1981,1981,18h,Globo,FRENESI,Maria Creusa,tema de Letícia
Ciranda de Pedra 1981,1981,1981,18h,Globo,THE TROLLEY SONG,João Gilberto,tema de Bruna e Sérgio
Ciranda de Pedra 1981,1981,1981,18h,Globo,CÉU COR-DE-ROSA,Quarteto Em Cy,tema de abertura
Ciranda de Pedra 1981,1981,1981,18h,Globo,COQUETEL PARA DOIS (COCKTAIL FOR TWO),Ronnie Von,
Ciranda de Pedra 1981,1981,1981,18h,Globo,TREVO DE QUATRO FOLHAS,Nara Leão,tema de Virgínia
Ciranda de Pedra 1981,1981,1981,18h,Globo,SERENATA AO LUAR (MOONLIGHT SERENADE),Pholhas,
Ciranda de Pedra 1981,1981,1981,18h,Globo,QUANTAS SÃO (JINGLE JANGLE JINGLE),Santa Cruz,
Ciranda de Pedra 1981,1981,1981,18h,Globo,SERENATA,Cauby Peixoto,tema de Laura e Daniel
Ciranda de Pedra 1981,1981,1981,18h,Globo,DANÇANDO COM LÁGRIMAS NO OLHOS (DANCING WITH TEARS IN MY EYES),Altemar Dutra,tema de Virgínia e Luís Carlos
