novel,year_star,year_end,time,TV,name_music,artist_music,obs
Coração Alado,1980,1981,20h,Globo,THE WINNER TAKES IT ALL,Abba,tema de Juca e Vívian
Coração Alado,1980,1981,20h,Globo,SURVIVE,Jimmy Buffet,tema de Gabriel e Roberta
Coração Alado,1980,1981,20h,Globo,I’M SO GLAD THAT I’M A WOMAN,Love Unlimited,
Coração Alado,1980,1981,20h,Globo,ALL OUT OF LOVE,Air Supply,tema de Catucha
Coração Alado,1980,1981,20h,Globo,FIRST BE A WOMAN,Leonore O’Malley,
Coração Alado,1980,1981,20h,Globo,AFTER YOU,Michael Johnson,tema de Melissa
Coração Alado,1980,1981,20h,Globo,MORE LOVE,Kim Carnes,tema de Luciana
Coração Alado,1980,1981,20h,Globo,SAILING,Christopher Cross,tema geral
Coração Alado,1980,1981,20h,Globo,I LOVE YOU DANCER,Voyage,
Coração Alado,1980,1981,20h,Globo,SHINE ON,L.T.D.,tema de Piero e Alexandra
Coração Alado,1980,1981,20h,Globo,RESCUE ME,A Taste of Honey,
Coração Alado,1980,1981,20h,Globo,ROLLER SHAKE,La Flavour,
Coração Alado,1980,1981,20h,Globo,MIGHTY SPIRIT,Commodores,
Coração Alado,1980,1981,20h,Globo,YOU’LL NEVER KNOW,Henry Mancini,tema de Karany e Cristal
