novel,year_star,year_end,time,TV,name_music,artist_music,obs
Coração Alado,1980,1981,20h,Globo,MOMENTOS,Joanna,tema de Catucha
Coração Alado,1980,1981,20h,Globo,PONTO DE INTERROGAÇÃO,Luiz Gonzaga Jr.,tema de Leandro
Coração Alado,1980,1981,20h,Globo,MODA DE SANGUE,Elis Regina,tema de Gabriel e Roberta
Coração Alado,1980,1981,20h,Globo,ESCRAVO DA ALEGRIA,Vinícius e Toquinho,
Coração Alado,1980,1981,20h,Globo,SÓ NOS RESTA VIVER,Ângela Ro Ro,tema de Glorinha
Coração Alado,1980,1981,20h,Globo,"VOCÊ E EU, EU E VOCÊ",Tim Maia,
Coração Alado,1980,1981,20h,Globo,LAVADEIRAS,Denise Emmer,tema de Dalva
Coração Alado,1980,1981,20h,Globo,ELA E EU,Maria Bethânia,
Coração Alado,1980,1981,20h,Globo,PÁSSARA,Francis Hime e Chico Buarque,tema de Silvana
Coração Alado,1980,1981,20h,Globo,MEU BEM-QUERER,Djavan,tema de Vívian
Coração Alado,1980,1981,20h,Globo,QUERO COLO,Fábio Jr.,tema de Piero e Alexandra
Coração Alado,1980,1981,20h,Globo,SEM COMPANHIA,Clara Nunes,tema de Maria Faz-Favor
Coração Alado,1980,1981,20h,Globo,VIAJANTE,Dominguinhos,tema de Juca
Coração Alado,1980,1981,20h,Globo,NOTURNO,Fagner,tema de abertura
