novel,year_star,year_end,time,TV,name_music,artist_music,obs
De Quina Pra Lua,1985,1986,18h,Globo,DON’T CLOSE YOUR EYES TONIGHT,John Denver,tema de Angelina
De Quina Pra Lua,1985,1986,18h,Globo,FOREVER YOUNG,Alphaville,
De Quina Pra Lua,1985,1986,18h,Globo,ROCK ME AMADEUS,Falco,
De Quina Pra Lua,1985,1986,18h,Globo,HURTS TO BE IN LOVE,Gino Vannelli,tema de de Fatinha e Marquinhos
De Quina Pra Lua,1985,1986,18h,Globo,I LIKE YOU,Phyllis Nelson,tema de locação
De Quina Pra Lua,1985,1986,18h,Globo,REMEMBER I LOVE YOU,Jim Diamond,tema de Mariazinha e do Profº Cagliosto
De Quina Pra Lua,1985,1986,18h,Globo,EVERYTHING TO LOSE,Style Council,
De Quina Pra Lua,1985,1986,18h,Globo,TARZAN BOY,Baltimora,
De Quina Pra Lua,1985,1986,18h,Globo,MORE THAN I CAN BEAR,Matt Bianco,
De Quina Pra Lua,1985,1986,18h,Globo,I MISS YOU,Klymaxx,tema de Fatinha e Marquinhos
De Quina Pra Lua,1985,1986,18h,Globo,NEVER,Heart,
De Quina Pra Lua,1985,1986,18h,Globo,DA QUANDO NON CI SEI,Dario Baldan Bembo,tema de Maria Marta e Bruno
De Quina Pra Lua,1985,1986,18h,Globo,KALIMBA DE LUNA,Tony Esposito,tema de Jésus
De Quina Pra Lua,1985,1986,18h,Globo,SAVING ALL MY LOVE FOR YOU,Whitney Houston,tema de Pedro
