novel,year_star,year_end,time,TV,name_music,artist_music,obs
De Quina Pra Lua,1985,1986,18h,Globo,DE QUINA PRA LUA,João Bosco,tema de abertura
De Quina Pra Lua,1985,1986,18h,Globo,DOCE MAGIA,Fafá de Belém,tema de Fatinha e Marquinhos
De Quina Pra Lua,1985,1986,18h,Globo,SENTIMENTO BLUES,Tadeu Mathias,tema de Bruno Scapelli
De Quina Pra Lua,1985,1986,18h,Globo,NUVEM,Ricardo Vilas,tema de Mariazinha
De Quina Pra Lua,1985,1986,18h,Globo,CARNE HUMANA,Renato Teixeira,tema de Cróvis
De Quina Pra Lua,1985,1986,18h,Globo,HAJA CORAÇÃO,Diana Pequeno,tema de Sílvia
De Quina Pra Lua,1985,1986,18h,Globo,CHEIO DE VONTADE,Tunai,tema de Jésus
De Quina Pra Lua,1985,1986,18h,Globo,A SORTE GRANDE,Viva Voz,tema geral
De Quina Pra Lua,1985,1986,18h,Globo,VIOLÃO E VOZ,Prêntice,tema de Angelina
De Quina Pra Lua,1985,1986,18h,Globo,"RODA SOLTA, LÍNGUA PRESA",Golden Boys,tema do Profº Cagliosto
De Quina Pra Lua,1985,1986,18h,Globo,"OH, PECADOR! (SINNER MAN)",Coral Século XX (participação especial de Zé Ramalho),tema do Padre Antônio
De Quina Pra Lua,1985,1986,18h,Globo,O GRANDE SILVA,Joelho de Porco,tema de Silva
De Quina Pra Lua,1985,1986,18h,Globo,QUERO,The Fevers,tema de Laura
De Quina Pra Lua,1985,1986,18h,Globo,NÃO AGUENTO MAIS,Zé Luiz,
