novel,year_star,year_end,time,TV,name_music,artist_music,obs
Direito de Amar,1987,1987,18h,Globo,ILUMINADOS,Ivan Lins *,
Direito de Amar,1987,1987,18h,Globo,SEI DE COR,Maria Bethânia,tema de Adriano
Direito de Amar,1987,1987,18h,Globo,OLHA,Milton Nascimento,tema do Sr. de Montserrat
Direito de Amar,1987,1987,18h,Globo,MINHA PEQUENA PRINCESA,Mú Carvalho,"tema das irmãs Mariana, Marizé e Marinês"
Direito de Amar,1987,1987,18h,Globo,BOUGAINVILLES,Carla Daniel,tema de Alice
Direito de Amar,1987,1987,18h,Globo,BOÊMIO,Emílio Santhiago,tema de Nelo
Direito de Amar,1987,1987,18h,Globo,POR TODA A MINHA VIDA,Gisele,tema de Rosália
Direito de Amar,1987,1987,18h,Globo,SUITE FROM MAGDALENA (THE EMERALD),Andre Kosteleinetz,tema de Rosália e Adriano
Direito de Amar,1987,1987,18h,Globo,DAS DORES DE ORATÓRIOS,João Bosco,tema de Joana
Direito de Amar,1987,1987,18h,Globo,FADA NOTURNA,Cláudia Raia,tema de Carola
Direito de Amar,1987,1987,18h,Globo,GUARDIÃO,João Caetano,tema de Ramos
Direito de Amar,1987,1987,18h,Globo,DIAS DE LUA,Cláudio Cartier,tema de Paula
Direito de Amar,1987,1987,18h,Globo,BONS TEMPOS,Lula Barbosa,tema de Manel
Direito de Amar,1987,1987,18h,Globo,CUMPRIMENTOS AO NOVO SÉCULO,Odette Ernest Dias,tema geral
Direito de Amar,1987,1987,18h,Globo,ILUMINADOS,Ivan Lins,tema de abertura
