novel,year_star,year_end,time,TV,name_music,artist_music,obs
Elas por Elas,1982,1982,19h,Globo,I’VE NEVER BEEN TO ME,Charlene,tema de Márcia
Elas por Elas,1982,1982,19h,Globo,EVEN THE NIGHTS ARE BETTER,Air Supply,tema de Natália
Elas por Elas,1982,1982,19h,Globo,IT’S GOOD TO BE THE KING,Mel Brooks,
Elas por Elas,1982,1982,19h,Globo,VUELVO A TI,Manolo Otero,tema de Carmem e Renê
Elas por Elas,1982,1982,19h,Globo,LET’S START THE DANCE AGAIN,Hamilton Bohannon,
Elas por Elas,1982,1982,19h,Globo,ONLY THE LONELY,Motels,tema de Gil e Míriam
Elas por Elas,1982,1982,19h,Globo,THANKS TO YOU,Sinnamon,
Elas por Elas,1982,1982,19h,Globo,A TASTE OF THE SIXTIES,Paul Mauriat,tema de Carmem
Elas por Elas,1982,1982,19h,Globo,GIMME JUST A LITTLE MORE TIME,Angela Clemmons,tema de Cláudia
Elas por Elas,1982,1982,19h,Globo,FOREVER,Alessi and Christopher Cross,tema das sete amigas
Elas por Elas,1982,1982,19h,Globo,CAN YOU SEE THE LIGHT,Brass Construction,
Elas por Elas,1982,1982,19h,Globo,HERE WE ARE,Vogue,tema de Ieda
Elas por Elas,1982,1982,19h,Globo,SWEET TENDER LOVE,Denroy Morgan,
Elas por Elas,1982,1982,19h,Globo,CRY SOFTLY,Secret Service,tema de Elton e Cris
