novel,year_star,year_end,time,TV,name_music,artist_music,obs
Elas por Elas,1982,1982,19h,Globo,MUNDO DELIRANTE,Simone,tema de Natália
Elas por Elas,1982,1982,19h,Globo,OUSADIA,Sandra Sá,tema de Márcia
Elas por Elas,1982,1982,19h,Globo,MULHER E CIDADE,Moraes Moreira,tema de Renê
Elas por Elas,1982,1982,19h,Globo,EU NÃO SABIA QUE VOCÊ EXISTIA,Elza Maria,tema de Míriam
Elas por Elas,1982,1982,19h,Globo,DEPOIS DE TI,Ângela Maria,tema de Helena
Elas por Elas,1982,1982,19h,Globo,ELAS POR ELAS,The Fevers,tema de abertura
Elas por Elas,1982,1982,19h,Globo,EVA,Robson Jorge & Lincoln Olivetti,tema geral
Elas por Elas,1982,1982,19h,Globo,MELÔ DO PIRIPIPI (JE SUIS LA FEMME),Gretchen,tema de Mário Fofoca
Elas por Elas,1982,1982,19h,Globo,CUMPLICIDADE,Fafá de Belém,tema de Wanda
Elas por Elas,1982,1982,19h,Globo,ESCÂNDALO,Ângela Ro Ro,
Elas por Elas,1982,1982,19h,Globo,GUARDADOS,Joyce,tema de Adriana
Elas por Elas,1982,1982,19h,Globo,MÚSICA E LETRA,Luiza Maria,tema de Ieda
Elas por Elas,1982,1982,19h,Globo,UM AUÊ COM VOCÊ,Baby Consuêlo,tema de Marlene
