novel,year_star,year_end,time,TV,name_music,artist_music,obs
Fera Radical,1988,1988,18h,Globo,VERDADES E MENTIRAS,Maria Bethânia,tema romântico de Cláudia
Fera Radical,1988,1988,18h,Globo,A CURA,Lulu Santos,tema de ação de Cláudia
Fera Radical,1988,1988,18h,Globo,SONHOS,Jane Duboc,tema de Cláudia e Fernando
Fera Radical,1988,1988,18h,Globo,MÁS COMPANHIAS,Virginie e o Fruto Proibido,tema de Ana Paula
Fera Radical,1988,1988,18h,Globo,CASTIGO,Eduardo Dussek,tema de Robério e Lurdes
Fera Radical,1988,1988,18h,Globo,CREMOSO,César Camargo Mariano,tema de locação: Rio de Janeiro
Fera Radical,1988,1988,18h,Globo,PEÃO,Almir Sater,tema de Altino
Fera Radical,1988,1988,18h,Globo,ME FAZ BEM,Gal Costa,tema de Marília
Fera Radical,1988,1988,18h,Globo,TABULEIRO,Sá & Guarabira,tema de Fernando
Fera Radical,1988,1988,18h,Globo,VIDA FÁCIL,Cazuza,tema de Paxá
Fera Radical,1988,1988,18h,Globo,PARAÍSO,Mú Carvalho,tema de Heitor
Fera Radical,1988,1988,18h,Globo,SOBROU PRA MIM,Tunai,tema de Betty
Fera Radical,1988,1988,18h,Globo,PEDAÇOS,João Caetano,tema de Olívia
Fera Radical,1988,1988,18h,Globo,FERA RADICAL,Solange,tema de abertura
