novel,year_star,year_end,time,TV,name_music,artist_music,obs
Fera Radical,1988,1988,18h,Globo,SHE’S LIKE THE WIND,Patrick Swayze & Wendy Fraser,tema de Ana Paula
Fera Radical,1988,1988,18h,Globo,"GET OUTTA MY DREAMS, GET INTO MY CAR",Billy Ocean,tema geral e tema de Alex
Fera Radical,1988,1988,18h,Globo,(YOU MAKE ME FEEL LIKE A) NATURAL WOMAN,Carrie Hamilton & Yutaka Tadokoro,tema de Cláudia e Fernando
Fera Radical,1988,1988,18h,Globo,LIVING IN A BOX,Living in a Box,
Fera Radical,1988,1988,18h,Globo,THAT’S WHAT LOVE IS ALL ABOUT,Michael Bolton,tema de Marília e Heitor
Fera Radical,1988,1988,18h,Globo,LESSONS IN LOVE,Level 42,tema de Cláudia
Fera Radical,1988,1988,18h,Globo,MAGIC EMOTIONS,Joel Paul Drade,tema de Altino e Marta
Fera Radical,1988,1988,18h,Globo,LOVE CHANGES EVERYTHING,Climie Fischer,tema de Rafael
Fera Radical,1988,1988,18h,Globo,TELL IT TO MY HEART,Taylor Dayne,
Fera Radical,1988,1988,18h,Globo,JUST A LITTLE LOVE,Rainier Hoeglmeier,tema de Betty e Dudu
Fera Radical,1988,1988,18h,Globo,PROMISES,Basia,tema de Paxá
Fera Radical,1988,1988,18h,Globo,SPECIAL WAY,Kool & The Gang,tema de Vicky
Fera Radical,1988,1988,18h,Globo,WATCH YOUR STEP,Star,
Fera Radical,1988,1988,18h,Globo,MARY’S PRAYER,Danny Wilson,
