novel,year_star,year_end,time,TV,name_music,artist_music,obs
Hipertensão,1986,1987,19h,Globo,JUDIA DE MIM,Zeca Pagodinho,tema de Marcos
Hipertensão,1986,1987,19h,Globo,DESENHO DE GIZ,João Bosco,tema de Sandro
Hipertensão,1986,1987,19h,Globo,SINTONIA,Moraes Moreira,tema de Túlio
Hipertensão,1986,1987,19h,Globo,SÓ PRO MEU PRAZER,Heróis da Resistência,tema de Carola
Hipertensão,1986,1987,19h,Globo,LIVRE PARA VIVER,Cláudio Zoli,tema de Carina
Hipertensão,1986,1987,19h,Globo,GOSTO DO PRAZER,A Cor do Som (participação especial Gilberto Gil),tema de abertura
Hipertensão,1986,1987,19h,Globo,ME CHAMA,João Gilberto,tema de Raquel
Hipertensão,1986,1987,19h,Globo,EM SILÊNCIO,Sá & Guarabira,tema de Chico
Hipertensão,1986,1987,19h,Globo,DO NADA PRA LUGAR NENHUM,Rosana,tema de Renata
Hipertensão,1986,1987,19h,Globo,AA UU,Titãs,tema de Napoleão
Hipertensão,1986,1987,19h,Globo,TODA FORMA DE PODER,Engenheiros do Hawaii,tema de Rai
Hipertensão,1986,1987,19h,Globo,PLAYMATE,Anne Perec,tema de Gioconda
Hipertensão,1986,1987,19h,Globo,RAZÕES,Armandinho,tema de locação
