novel,year_star,year_end,time,TV,name_music,artist_music,obs
Hipertensão,1986,1987,19h,Globo,HUMAN,The Human League,tema de Renata
Hipertensão,1986,1987,19h,Globo,PAPA DON’T PREACH,Madonna,tema de Beatriz
Hipertensão,1986,1987,19h,Globo,STUCK WITH YOU,Huey Lewis & The News,tema de Carola e Tùlio
Hipertensão,1986,1987,19h,Globo,GLORY OF LOVE,Peter Cetera,tema de Renata e Laerte
Hipertensão,1986,1987,19h,Globo,DON’T FORGET ME (WHEN I´M GONE),Glass Tiger featuring Bryan Adams,tema de locação
Hipertensão,1986,1987,19h,Globo,SHAKE YOU DOWN,Gregory Abbott,tema de Antonieta e Fratelo
Hipertensão,1986,1987,19h,Globo,ONLY A STEP AWAY,Wall Street Crash,
Hipertensão,1986,1987,19h,Globo,LADY IN RED,Chris De Bourgh,tema de Raquel
Hipertensão,1986,1987,19h,Globo,RIGHT BETWEEN THE EYES,Wax,tema de locação e do teatro mambembe
Hipertensão,1986,1987,19h,Globo,HOLIDAY RAP,M.C. Miker G & DJ Sven,tema do núcleo jovem
Hipertensão,1986,1987,19h,Globo,GONE WITH THE WINNER,Century,tema de Carina e Sandro
Hipertensão,1986,1987,19h,Globo,I’M THE ONE WHO REALLY LOVES YOU,Austin Howard,tema de Carina
Hipertensão,1986,1987,19h,Globo,EMOTION IN MOTION,Rick Ocasek,
Hipertensão,1986,1987,19h,Globo,HOW DO YOU STOP?,James Brown,tema de Carola e Raul Galvão
