novel,year_star,year_end,time,TV,name_music,artist_music,obs
Jogo da Vida,1981,1982,19h,Globo,I BELIEVE IN LOVE,Nikka Costa,tema de Rosana
Jogo da Vida,1981,1982,19h,Globo,SIGN OF TIMES,Bob James,tema de Mariúcha
Jogo da Vida,1981,1982,19h,Globo,YESTERDAY’S SONGS,Neil Diamond,tema de Jordana
Jogo da Vida,1981,1982,19h,Globo,GIVE TO ME BABY,Rick James,tema de Jerônimo
Jogo da Vida,1981,1982,19h,Globo,MISTAKEN IDENTITY,Kim Carnes,tema de Lívia e Jero
Jogo da Vida,1981,1982,19h,Globo,PIANO,Bruno Carezza,tema de Adriano e Carla
Jogo da Vida,1981,1982,19h,Globo,GOSTAVA DE SER QUEM ERA,Amália Rodrigues,tema de Vieira
Jogo da Vida,1981,1982,19h,Globo,DANCE THE NIGHT AWAY,Vogue,tema de locação
Jogo da Vida,1981,1982,19h,Globo,I CAN’T GO FOR THAT (NO CAN DO),Daryl Hall & John Oates,tema de locação
Jogo da Vida,1981,1982,19h,Globo,THE OLD SONGS,Barry Manilow,tema de Silas
Jogo da Vida,1981,1982,19h,Globo,GOODBYE,Patrick Hernandez,tema de Loreta
Jogo da Vida,1981,1982,19h,Globo,TO MY HEART,Leo Robinson,
Jogo da Vida,1981,1982,19h,Globo,MAGIC IN THE GROOVE,Voyage,tema de locação
Jogo da Vida,1981,1982,19h,Globo,PATRICIA,Life Game Orquestra,tema de Carlito
