novel,year_star,year_end,time,TV,name_music,artist_music,obs
Jogo da Vida,1981,1982,19h,Globo,ONDE A DOR NÃO TEM RAZÃO,Paulinho da Viola,tema de Silas
Jogo da Vida,1981,1982,19h,Globo,VINHO ANTIGO,Biafra,tema de Vieira
Jogo da Vida,1981,1982,19h,Globo,EU VELEJAVA EM VOCÊ,Zizi Possi,tema de Jordana
Jogo da Vida,1981,1982,19h,Globo,DAQUILO QUE EU SEI,Ivan Lins,tema de Adriano
Jogo da Vida,1981,1982,19h,Globo,A TARDE,Olívia Hime,
Jogo da Vida,1981,1982,19h,Globo,LUA DE CETIM,Leila,tema de Clarita Catita
Jogo da Vida,1981,1982,19h,Globo,VIDA VIDA,Ney Matogrosso,tema de abertura
Jogo da Vida,1981,1982,19h,Globo,GATA TODO DIA,Marina,tema de Carla
Jogo da Vida,1981,1982,19h,Globo,ALTO ASTRAL,A Cor do Som,tema de Lívia
Jogo da Vida,1981,1982,19h,Globo,CORAÇÃO CIGANO,Wando,tema de Badaró
Jogo da Vida,1981,1982,19h,Globo,CLAREAR,Roupa Nova,tema geral
Jogo da Vida,1981,1982,19h,Globo,CAFÉ NA CAMA,Júnior e Mariana,tema de Rosana e Oswaldo
Jogo da Vida,1981,1982,19h,Globo,GRANDE AMOR,Denise Emmer,
Jogo da Vida,1981,1982,19h,Globo,A MAIS ANTIGA PROFISSÃO,Sílvio César,
