novel,year_star,year_end,time,TV,name_music,artist_music,obs
Mandala,1987,1988,20h,Globo,EU JÁ TIREI A TUA ROUPA,Wando,
Mandala,1987,1988,20h,Globo,MEU DILEMA,Fafá de Belém,
Mandala,1987,1988,20h,Globo,FERISTES UM CORAÇÃO,Zeca Pagodinho,
Mandala,1987,1988,20h,Globo,A SEMENTE,Bezerra da Silva,
Mandala,1987,1988,20h,Globo,NOSSA HISTÓRIA DE AMOR,Gilson,
Mandala,1987,1988,20h,Globo,PARABÉNS PRA VOCÊ,Dicró,
Mandala,1987,1988,20h,Globo,PRA SEMPRE VOU TE AMAR,Adriana,
Mandala,1987,1988,20h,Globo,ESTRADA DO CORAÇÃO,Agepê,
Mandala,1987,1988,20h,Globo,LIGA PRA MIM,Gilberto Lemos,
Mandala,1987,1988,20h,Globo,BOÊMIO,Emílio Santiago,
Mandala,1987,1988,20h,Globo,NA CERTEZA DA PAZ,Almir Guineto,
Mandala,1987,1988,20h,Globo,O AMOR E O PODER,Rosana,
