novel,year_star,year_end,time,TV,name_music,artist_music,obs
Mandala,1987,1988,20h,Globo,A MATTER OF FEELING,Duran Duran,tema de Toninho e Marlucy
Mandala,1987,1988,20h,Globo,DIDN’T WE ALMOST HAVE IT ALL,Whitney Houston,tema de Jocasta
Mandala,1987,1988,20h,Globo,SUGAR FREE,Wa Wa Nee,
Mandala,1987,1988,20h,Globo,WITH OR WITHOUT,U2,
Mandala,1987,1988,20h,Globo,NOTHING’S GONNA CHANGE MY LOVE FOR YOU,Glenn Medeiros,tema de Letícia
Mandala,1987,1988,20h,Globo,BITTER FRUIT,Little Stevens,
Mandala,1987,1988,20h,Globo,NO CONVERSATION,View From the Hill,tema de Vera e Creonte
Mandala,1987,1988,20h,Globo,LUKA,Suzanne Vega,
Mandala,1987,1988,20h,Globo,NEVER SAY GOODBYE,Bon Jovi,tema de Gérson e Mariana
Mandala,1987,1988,20h,Globo,LOST IN EMOTION,Lisa Lisa & The Cult Jam,
Mandala,1987,1988,20h,Globo,I’VE BEEN IN LOVE BEFORE,Cutting Crew,tema de Tony Carrado
Mandala,1987,1988,20h,Globo,LET THE SUN SHINE IN YOUR HEART,Wind,tema de Édipo
Mandala,1987,1988,20h,Globo,I THINK WE’RE ALONE NOW,Tiffany,
Mandala,1987,1988,20h,Globo,SONGBIRD,Kenny G.,tema romântico do triângulo Jocasta-Édipo-Letícia
