novel,year_star,year_end,time,TV,name_music,artist_music,obs
Mandala,1987,1988,20h,Globo,MITOS,César Camargo Mariano,tema de abertura
Mandala,1987,1988,20h,Globo,VIAGEM AO FUNDO DO EGO,Egotrip,tema de Édipo
Mandala,1987,1988,20h,Globo,DOU-NÃO-DOU,Djavan,tema de Laio
Mandala,1987,1988,20h,Globo,O AMOR E O PODER,Rosana,tema de Jocasta
Mandala,1987,1988,20h,Globo,BOBO DA CORTE,Alceu Valença,tema de Vovô Pepê
Mandala,1987,1988,20h,Globo,"UM DIA, UM ADEUS",Guilherme Arantes,tema de Vera
Mandala,1987,1988,20h,Globo,MEU MESTRE CORAÇÃO,Milton Nascimento,tema de Gérson
Mandala,1987,1988,20h,Globo,A PAZ,Zizi Possi,tema de Letícia
Mandala,1987,1988,20h,Globo,EU JÁ TIREI A TUA ROUPA,Wando,tema de Tony Carrado
Mandala,1987,1988,20h,Globo,PERSONAGEM,Fafá de Belém,tema de Mercedes e Américo
Mandala,1987,1988,20h,Globo,EU QUERO O ABSURDO,Tânia Alves,tema de Eurídice
Mandala,1987,1988,20h,Globo,TEMPO DE DON DON,Zeca Pagodinho,tema de Apolinário
Mandala,1987,1988,20h,Globo,PRECONCEITO,Via Negromonte,tema de Marlucy
Mandala,1987,1988,20h,Globo,PERDÃO,Areia Quente,tema de Débora
Mandala,1987,1988,20h,Globo,EU JÁ SEI,Garotos da Rua,tema de Toninho
Mandala,1987,1988,20h,Globo,UMA MULHER,César Camargo Marinao (participação especial Léo Gandelman),tema de Jocasta e Édipo
