novel,year_star,year_end,time,TV,name_music,artist_music,obs
Marina 1980,1980,1980,18h,Globo,DOCE VIDA,Marina,tema de Marina
Marina 1980,1980,1980,18h,Globo,AQUELA COISA TODA,Oswaldo Montenegro,tema de Estevão e Sônia
Marina 1980,1980,1980,18h,Globo,É DIFÍCIL DIZER,Evinha,
Marina 1980,1980,1980,18h,Globo,VELHO CAMARADA,"Fábio, Tim Maia e Hyldon",tema de Marina e Tonho
Marina 1980,1980,1980,18h,Globo,MISTÉRIOS,Joyce,tema de Marina e Marcelo
Marina 1980,1980,1980,18h,Globo,SOL DE PRIMAVERA,Beto Guedes,tema de abertura
Marina 1980,1980,1980,18h,Globo,LEMBRANÇAS,Kátia,tema de Marlene
Marina 1980,1980,1980,18h,Globo,AMOR NATURAL,Black Rio,tema de Vera e Marcelo
Marina 1980,1980,1980,18h,Globo,VELAS IÇADAS,Ivan Lins,tema de Adriana
Marina 1980,1980,1980,18h,Globo,QUERO ME ENTREGAR PRA VOCÊ,Ronaldo Resedá,tema de Fernanda
Marina 1980,1980,1980,18h,Globo,MEU CORAÇÃO,Pepeu Gomes,tema de Ivan
Marina 1980,1980,1980,18h,Globo,CAMINHOS CRUZADOS,Maria Martha,tema de Maria
