novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Amor é Nosso!,1981,1981,19h,Globo,SUNSHINE ON MY SHOULDERS,John Denver,tema de Pedro e Nina
O Amor é Nosso!,1981,1981,19h,Globo,NO TEARS TOMORROW,Lonnie Smith,
O Amor é Nosso!,1981,1981,19h,Globo,HOW DO YOU SAY GOODBYE,Ted Baryson,
O Amor é Nosso!,1981,1981,19h,Globo,THE BEST OF TIMES,Styx,tema de Sandra
O Amor é Nosso!,1981,1981,19h,Globo,IS SOMETHING WRONG WITH YOU,Bobby Thurston,
O Amor é Nosso!,1981,1981,19h,Globo,GOOD THING GOING,Sugar Minot,
O Amor é Nosso!,1981,1981,19h,Globo,UNCHAIN MY HEART,Don Potter,
O Amor é Nosso!,1981,1981,19h,Globo,ANCORA,Eduardo Crescenzo,tema de Gilda
O Amor é Nosso!,1981,1981,19h,Globo,NOWHERE TO HIDE,Voyage,
O Amor é Nosso!,1981,1981,19h,Globo,SEGUIRÉ MI CAMIÑO,Julio Iglesias,tema de Carmem
O Amor é Nosso!,1981,1981,19h,Globo,WELCOME HOME,Corelia,
O Amor é Nosso!,1981,1981,19h,Globo,YOU’RE BREAKING MY HEART,Niteflyte,tema de Chico
O Amor é Nosso!,1981,1981,19h,Globo,I SPY,Savannah,
O Amor é Nosso!,1981,1981,19h,Globo,PEACE AND LOVE,Steve McLean,tema de Ivo
