novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Amor é Nosso!,1981,1981,19h,Globo,BEM SIMPLES,Roupa Nova,tema de Ivo
O Amor é Nosso!,1981,1981,19h,Globo,O MAIOR MISTÉRIO,Renato Teixeira,tema de Padre Leonardo
O Amor é Nosso!,1981,1981,19h,Globo,JOGADA PELO MUNDO,Gal Costa,tema de Carmem
O Amor é Nosso!,1981,1981,19h,Globo,SENTINELA,Milton Nascimento,tema de Padre Leonardo e Cíntia
O Amor é Nosso!,1981,1981,19h,Globo,ROCHEDO,Beth Carvalho,
O Amor é Nosso!,1981,1981,19h,Globo,BONS AMIGOS,Kátia,tema de Nina
O Amor é Nosso!,1981,1981,19h,Globo,EU ME RENDO,Fábio Jr.,tema de abertura
O Amor é Nosso!,1981,1981,19h,Globo,BEM-TE-VI,Renato Terra,tema de Chico
O Amor é Nosso!,1981,1981,19h,Globo,ABRE CORAÇÃO,Marcelo,tema de Pedro e Nina
O Amor é Nosso!,1981,1981,19h,Globo,PARA SER O SOL,A Cor do Som,tema de Tininha
O Amor é Nosso!,1981,1981,19h,Globo,EU VOLTEI,Cláudia Telles,
O Amor é Nosso!,1981,1981,19h,Globo,TESOURO DA JUVENTUDE,Lulu Santos,
O Amor é Nosso!,1981,1981,19h,Globo,GOLPE DE AMOR,Fernanda,tema de Gilda
O Amor é Nosso!,1981,1981,19h,Globo,COMO POSSO ESQUECER,Aquarius,
