novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Homem Proibido (1982),1982,1982,18h,Globo,WAITING FOR A GIRL LIKE YOU,Foreigner,tema de Déo e Raquel
O Homem Proibido (1982),1982,1982,18h,Globo,ROCK YOUR WORLD,Weeks & Co.,
O Homem Proibido (1982),1982,1982,18h,Globo,ONE TO ONE,Carole King,tema de Joice e Carlos
O Homem Proibido (1982),1982,1982,18h,Globo,PAC-MAN FEVER,Buckner & Garcia,
O Homem Proibido (1982),1982,1982,18h,Globo,HIT N’RUN LOVER,Carol Jiani,
O Homem Proibido (1982),1982,1982,18h,Globo,TREAT YOURSELF TO MY LOVE,Terri Gonzalez,
O Homem Proibido (1982),1982,1982,18h,Globo,BRUSA HÖGRE LILLA Å,Björn J:son Lindh,tema de  Joice
O Homem Proibido (1982),1982,1982,18h,Globo,YOU’RE THE ONE FOR ME,D. Train,
O Homem Proibido (1982),1982,1982,18h,Globo,YOU OUGHT TO WRITE YOURSELF A LOVE SONG,Ann Louise Hanson,
O Homem Proibido (1982),1982,1982,18h,Globo,DO IT TO ME,Vernon Burch,
O Homem Proibido (1982),1982,1982,18h,Globo,THINGS,Chrystian,
O Homem Proibido (1982),1982,1982,18h,Globo,HOT BLOOD,Jan and Tina Provenzano,
O Homem Proibido (1982),1982,1982,18h,Globo,SHE BELIEVES IN ME,Robert Winters & Fall,tema de Paulo e Sônia
O Homem Proibido (1982),1982,1982,18h,Globo,I LOVE ROCK N’ROLL,Joan Jett & The Blackhearts,
