novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Homem Proibido (1982),1982,1982,18h,Globo,OUSADIA,Cauby Peixoto,tema de Paulo
O Homem Proibido (1982),1982,1982,18h,Globo,A PAIXÃO E A JURA,Roberto Ribeiro,tema de Déo e Raquel
O Homem Proibido (1982),1982,1982,18h,Globo,PEDRAS E VIDROS,Fábio Jr.,tema de Joice
O Homem Proibido (1982),1982,1982,18h,Globo,PARE DE ME ARRANHAR,Márcio Proença,tema de Sônia
O Homem Proibido (1982),1982,1982,18h,Globo,"AH, COMO EU AMEI!",Benito Di Paula,
O Homem Proibido (1982),1982,1982,18h,Globo,QUEIXA,Caetano Veloso,tema de abertura
O Homem Proibido (1982),1982,1982,18h,Globo,FOLHAS SECAS,Elis Regina,tema do núcleo da Mangueira
O Homem Proibido (1982),1982,1982,18h,Globo,ERA UM DIA,Jessé,
O Homem Proibido (1982),1982,1982,18h,Globo,NOITE SEM LUAR,Beto Guedes,
O Homem Proibido (1982),1982,1982,18h,Globo,O AMOR NASCER,Guilherme Arantes,
O Homem Proibido (1982),1982,1982,18h,Globo,SÓ PRA SOPRAR,Gilberto Santamaria,
O Homem Proibido (1982),1982,1982,18h,Globo,PITANGA,Cleston Teixeira,tema de Arminda
