novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Outro,1987,1987,20h,Globo,COMING AROUND AGAIN,Carly Simon,tema de Índia do Brasil
O Outro,1987,1987,20h,Globo,DON’T DREAM IT’S OVER,Crowded House,tema de Denizard
O Outro,1987,1987,20h,Globo,THE MIRACLE OF LOVE,Eurythmics,tema de Marília e João Silvério
O Outro,1987,1987,20h,Globo,AT THE BACK OF MY HEART,M.C.R.,tema de locação
O Outro,1987,1987,20h,Globo,YOU’RE THE VOICE,John Farham,tema de locação
O Outro,1987,1987,20h,Globo,WORDS GET IN THE WAY,Gloria Estephan & Miami Sound Machine,tema de Laura
O Outro,1987,1987,20h,Globo,THIS LOVE,Bad Company,tema de Dedé
O Outro,1987,1987,20h,Globo,DON’T GET ME WRONG,Pretenders,tema de Glorinha da Abolição
O Outro,1987,1987,20h,Globo,TWO PEOPLE,Tina Turner,tema de Pedro Ernesto e Zezinha
O Outro,1987,1987,20h,Globo,NEVER GONNA LEAVE YOU,Subject,
O Outro,1987,1987,20h,Globo,STAY THE NIGHT,Benjamin Orr,tema de locação
O Outro,1987,1987,20h,Globo,FOOLISH PRIDE,Sasha,tema romântico geral
O Outro,1987,1987,20h,Globo,I’LL BE OVER YOU,Toto,tema de Edwiges e Genésio
O Outro,1987,1987,20h,Globo,THOUSAND MILES FROM HOME,Jim Porto,tema de Gabriel
