novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Outro,1987,1987,20h,Globo,MAR DE COPACABANA,Gilberto Gil,tema de Índia do Brasil
O Outro,1987,1987,20h,Globo,QUERO FICAR COM VOCÊ,Maria Bethânia,tema de Laura
O Outro,1987,1987,20h,Globo,NOSSO AMOR A GENTE INVENTA (ESTÓRIA ROMÂNTICA),Cazuza,tema de Marília e João Silvério
O Outro,1987,1987,20h,Globo,DOUBLÉ DE CORPO,Heróis da Resistência,tema de Dedé
O Outro,1987,1987,20h,Globo,ESQUECE E VEM,Nico Rezende,tema de Denizard e Laura
O Outro,1987,1987,20h,Globo,KÁTIA FLÁVIA,Fausto Fawcett & Os Robôs Efêmeros,tema de locação: Copacabana
O Outro,1987,1987,20h,Globo,AMANHÃ É 23,Kid Abelha & Os Abóboras Selvagens,tema de Glorinha da Abolição
O Outro,1987,1987,20h,Globo,FOGO DE SAUDADE,Beth Carvalho,tema de Agostinho
O Outro,1987,1987,20h,Globo,O MUNDO É UM MOINHO,Ney Matogrosso,
O Outro,1987,1987,20h,Globo,QUEM ME OLHA SÓ,Barão Vermelho,tema de Edwiges e Genésio
O Outro,1987,1987,20h,Globo,RETRATOS E CANÇÕES,Sandra Sá,tema de Pedro Ernesto e Zezinha
O Outro,1987,1987,20h,Globo,FLORES EM VOCÊ,Ira!,tema de abertura
