novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Salvador da Pátria,1989,1989,20h,Globo,HOLD ME INYOUR ARMS,Rick Astley,tema de Severo e Bárbara
O Salvador da Pátria,1989,1989,20h,Globo,TWO HEARTS,Phil Collins,tema de Alice
O Salvador da Pátria,1989,1989,20h,Globo,ONE MOMENT IN TIME,Whitney Houston,tema de Gilda
O Salvador da Pátria,1989,1989,20h,Globo,I’LL BE THERE FOR YOU,Bon Jovi,tema de Ângela
O Salvador da Pátria,1989,1989,20h,Globo,"GIRL, YOU KNOW IT’S TRUE",Milli Vanilli,tema de locação: São Paulo e rádio de João
O Salvador da Pátria,1989,1989,20h,Globo,INSIDE A DREAM,Jane Wiedlin,tema de locação: Tangará
O Salvador da Pátria,1989,1989,20h,Globo,CLOSER WISH,Sarah & Leon Bishop,tema de Ricardo e Clotilde
O Salvador da Pátria,1989,1989,20h,Globo,DOMINO DANCING,Pet Shop Boys,tema geral
O Salvador da Pátria,1989,1989,20h,Globo,BABY I LOVE YOUR WAY,Will to Power,tema de Camila
O Salvador da Pátria,1989,1989,20h,Globo,LOST IN YOUR EYES,Debbie Gibson,tema de Marina e João
O Salvador da Pátria,1989,1989,20h,Globo,DEAR GOD,Midge Ure,tema de Marco Antônio e Zezé
O Salvador da Pátria,1989,1989,20h,Globo,NICE AND SLOW,George McCrae,tema de Regina
O Salvador da Pátria,1989,1989,20h,Globo,JUST LIKE THE PHOENIX,Cathy Fischer,tema de Diná e Plínio
O Salvador da Pátria,1989,1989,20h,Globo,I BELIEVE IN YOU,Stryper,tema de Sassá Mutema e Clotilde
