novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Sexo dos Anjos,1989,1990,18h,Globo,SWEET CHILD O’ MINE,Guns N’ Roses,tema de Marilu
O Sexo dos Anjos,1989,1990,18h,Globo,LISTEN TO YOUR HEART,Roxette,tema de Adriano e Isabela
O Sexo dos Anjos,1989,1990,18h,Globo,A LITTLE RESPECT,Erasure,tema de Otávio
O Sexo dos Anjos,1989,1990,18h,Globo,YOU GOT IT,Roy Orbinson,tema de Cássio e Lucinha
O Sexo dos Anjos,1989,1990,18h,Globo,ROCK WIT’CHA,Bobby Brown,tema de Gigi e Zé Paulo
O Sexo dos Anjos,1989,1990,18h,Globo,BOYS (SUMMERTIME LOVE),Sabrina,tema de Marilu
O Sexo dos Anjos,1989,1990,18h,Globo,LOVIN’,Highway,tema de Tomás
O Sexo dos Anjos,1989,1990,18h,Globo,IF YOU DON’T KNOW ME BY NOW,Simply Red,tema de Ruth e Diôgo
O Sexo dos Anjos,1989,1990,18h,Globo,GOT TO BE CERTAIN,Kylie Minogue,tema de locação: Rio de Janeiro
O Sexo dos Anjos,1989,1990,18h,Globo,I’LL BE LOVING YOU (FOREVER),New Kids On The Block,tema de Diana e Renato
O Sexo dos Anjos,1989,1990,18h,Globo,IT’S NOT ENOUGH,Starship,tema da lua-de-mel de Gigi e Zé Paulo
O Sexo dos Anjos,1989,1990,18h,Globo,CONQUISTADOR,Thierry Mutin,tema de Neide
O Sexo dos Anjos,1989,1990,18h,Globo,CHRONIC LOVE,Dean McDowell,tema de Leonor e Durval
O Sexo dos Anjos,1989,1990,18h,Globo,FIST OF FIRE,"Anderson, Bruford, Wakerman and Howe",tema de Diana
