novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Salvador da Pátria,1989,1989,20h,Globo,AMARRA O TEU ARADO A UMA ESTRELA,Gilberto Gil,tema de abertura
O Salvador da Pátria,1989,1989,20h,Globo,DEUS TE PROTEJA DE MIM,Wando,tema de Marlene e tema de Marina
O Salvador da Pátria,1989,1989,20h,Globo,O TEMPO NÃO PARA,Simone,tema de Severo
O Salvador da Pátria,1989,1989,20h,Globo,DIRETO NO OLHAR,Rosana,tema de Camila
O Salvador da Pátria,1989,1989,20h,Globo,ALÉM DA RAZÃO,Beth Carvalho,tema de Lauro
O Salvador da Pátria,1989,1989,20h,Globo,CIRANDA DO SASSÁ,Cláudio Nucci,tema de Sassá Mutema
O Salvador da Pátria,1989,1989,20h,Globo,FEBRE TROPICAL,Lucinha Lins,tema de Ângela
O Salvador da Pátria,1989,1989,20h,Globo,DOCE PRAZER,Wálter Montezuma,tema de Paulo
O Salvador da Pátria,1989,1989,20h,Globo,JADE,João Bosco,tema de Clotilde
O Salvador da Pátria,1989,1989,20h,Globo,PRA DIZER ADEUS,Wander Taffo,tema de Sérgio
O Salvador da Pátria,1989,1989,20h,Globo,LUA E FLOR,Oswaldo Montenegro,tema de Sassá Mutema e Clotilde
O Salvador da Pátria,1989,1989,20h,Globo,DE CORPO INTEIRO,Jane Duboc,tema de Gilda
O Salvador da Pátria,1989,1989,20h,Globo,HORIZONTES,A Cor do Som,tema de João
O Salvador da Pátria,1989,1989,20h,Globo,DELICIOUS,Yahoo,tema de Alice
O Salvador da Pátria,1989,1989,20h,Globo,BEM QUE SE QUIS (E PO’ CHE FA’),Marisa Monte,tema de Bárbara
O Salvador da Pátria,1989,1989,20h,Globo,TÁ NA TERRA,João Caetano,tema dos boias-frias
