novel,year_star,year_end,time,TV,name_music,artist_music,obs
O Sexo dos Anjos,1989,1990,18h,Globo,ANJO (ANGEL),Yahoo,tema de Diana
O Sexo dos Anjos,1989,1990,18h,Globo,A 2,Lulu Santos,tema de Ruth
O Sexo dos Anjos,1989,1990,18h,Globo,NATUREZA VIVA,Nico Rezende,tema de Renato
O Sexo dos Anjos,1989,1990,18h,Globo,MATINÊ NO RIAN,João Penca & Seus Miquinhos Amestrados (participação especial de Paula Toller),tema de abertura
O Sexo dos Anjos,1989,1990,18h,Globo,ALMA GÊMEA,Sandra de Sá,tema de Leonor e Durval
O Sexo dos Anjos,1989,1990,18h,Globo,AMIGO DO AMIGO,Skowa e a Máfia,tema de Rogê
O Sexo dos Anjos,1989,1990,18h,Globo,ANJOS E DEMÔNIOS,Zé Lourenço,tema de Diana
O Sexo dos Anjos,1989,1990,18h,Globo,ONDE O AMOR ME LEVA,Rosana,tema de Gigi
O Sexo dos Anjos,1989,1990,18h,Globo,SOU EU,Eduardo Dussek,tema de Neide
O Sexo dos Anjos,1989,1990,18h,Globo,DEDICADO A VOCÊ,Zizi Possi,tema de Adriano e Isabela
O Sexo dos Anjos,1989,1990,18h,Globo,ADOCICA,Beto Barbosa,tema de Francisquinha
O Sexo dos Anjos,1989,1990,18h,Globo,NAMORAR,Cláudia Olivetti,tema de Isabela
O Sexo dos Anjos,1989,1990,18h,Globo,AMENDOIM TORRADINHO,Marília Pêra,tema de Cássio
O Sexo dos Anjos,1989,1990,18h,Globo,PAISAGENS,Julinho Teixeira,tema de Otávio
