novel,year_star,year_end,time,TV,name_music,artist_music,obs
Olhai os Lírios do Campo,1980,1980,18h,Globo,ABANDONO,Ivor Lancellotti,tema de Frida Falk
Olhai os Lírios do Campo,1980,1980,18h,Globo,AGORA,Joanna,
Olhai os Lírios do Campo,1980,1980,18h,Globo,CIRANDA,Edson e Terezinha,
Olhai os Lírios do Campo,1980,1980,18h,Globo,SUBLIME TORTURA,Miucha e Tom Jobim,
Olhai os Lírios do Campo,1980,1980,18h,Globo,NA DIREÇÃO DO DIA,Boca Livre,
Olhai os Lírios do Campo,1980,1980,18h,Globo,OLHA A LUA,Olívia,tema de Olívia
Olhai os Lírios do Campo,1980,1980,18h,Globo,FELICIDADE,Caetano Veloso,tema de Eugênio
Olhai os Lírios do Campo,1980,1980,18h,Globo,ESTATE,João Gilberto,tema de Eugênio e Olívia
Olhai os Lírios do Campo,1980,1980,18h,Globo,NUNCA,Zizi Possi,tema de Eunice
Olhai os Lírios do Campo,1980,1980,18h,Globo,CHUVA,Gilson,
Olhai os Lírios do Campo,1980,1980,18h,Globo,SONHO DE VALSA,14 Bis,
Olhai os Lírios do Campo,1980,1980,18h,Globo,CANTO TRISTE,Jane Duboc,
Olhai os Lírios do Campo,1980,1980,18h,Globo,GIRA… GIRA (YIRA… YIRA),Cauby Peixoto,
Olhai os Lírios do Campo,1980,1980,18h,Globo,ESSES MOÇOS,Fábio Júnior,tema de abertura
