novel,year_star,year_end,time,TV,name_music,artist_music,obs
Pacto de Sangue,1989,1989,18h,Globo,SORRI (SMILE),Djavan,
Pacto de Sangue,1989,1989,18h,Globo,"DEVAGAR, UM SEGREDO",Dudu França,
Pacto de Sangue,1989,1989,18h,Globo,SAUDADE,Chrystian e Ralf,
Pacto de Sangue,1989,1989,18h,Globo,AMOR POENTE,Roberto Ribeiro,
Pacto de Sangue,1989,1989,18h,Globo,EU TE AMO,Leila Pinheiro,
Pacto de Sangue,1989,1989,18h,Globo,O PACTO,Instrumental,
Pacto de Sangue,1989,1989,18h,Globo,HISTÓRIAS E LENDAS,Zezé Motta,
Pacto de Sangue,1989,1989,18h,Globo,TABLADOS,Chico Buarque,
Pacto de Sangue,1989,1989,18h,Globo,BONITA LENDA,Roberto Leal,
Pacto de Sangue,1989,1989,18h,Globo,COMO UM LADRÃO,Carlinhos Vergueiro (participação de Paulinho da Viola),
Pacto de Sangue,1989,1989,18h,Globo,JÁ FAZ TEMPO,Neguinho da Beija-Flor,
Pacto de Sangue,1989,1989,18h,Globo,DESALENTO,Marçal (participação de Chico Buarque),
Pacto de Sangue,1989,1989,18h,Globo,CAPATAZ,Cristina Santos,
Pacto de Sangue,1989,1989,18h,Globo,LIBERDADE,Instrumental,
Pacto de Sangue,1989,1989,18h,Globo,NO PEITO E NA RAÇA,Olívia Byngton e João Carlos Assis Brasil,
