novel,year_star,year_end,time,TV,name_music,artist_music,obs
Paraíso 1982,1982,1983,18h,Globo,BOIADEIRO ERRANTE,Sérgio Reis,tema dos boiadeiros
Paraíso 1982,1982,1983,18h,Globo,VARANDAS,Almir Sater,tema de Rosinha
Paraíso 1982,1982,1983,18h,Globo,MINHA PAIXÃO,Milionário e Zé Rico,
Paraíso 1982,1982,1983,18h,Globo,SÃO SEBASTIÃO DO RODEIRO,Zé Geraldo,
Paraíso 1982,1982,1983,18h,Globo,"EU, A VIOLA E DEUS",Rolando Boldrin,
Paraíso 1982,1982,1983,18h,Globo,PROMESSAS DEMAIS,Ney Matogrosso,tema de abertura
Paraíso 1982,1982,1983,18h,Globo,FRUTA BOA,Telma Costa,
Paraíso 1982,1982,1983,18h,Globo,ORQUESTRA DIVINA,Guilherme Lamounier,
Paraíso 1982,1982,1983,18h,Globo,SIMPLESMENTE,Roupa Nova,
Paraíso 1982,1982,1983,18h,Globo,MENINO NU,Casinho Terra,tema de Aninha
Paraíso 1982,1982,1983,18h,Globo,OÉ OÉ FAZ O CARRO DE BOI NA ESTRADA,Jorge Ben,
Paraíso 1982,1982,1983,18h,Globo,ASA BRANCA,Quinteto Violado,
