novel,year_star,year_end,time,TV,name_music,artist_music,obs
Plumas e Paetês,1980,1981,19h,Globo,I NEVER FALL IN LOVE,Davitt Sigerson,tema de Ângelo
Plumas e Paetês,1980,1981,19h,Globo,GIVE ME THE NIGHT,George Benson,tema de locação e dos desfiles de moda
Plumas e Paetês,1980,1981,19h,Globo,SHADOW IN THE SUN,Silvia Mason,tema de Melina
Plumas e Paetês,1980,1981,19h,Globo,NEVER KNEW LOVE LIKE THIS BEFORE,Stephanie Mills,tema de Cláudia
Plumas e Paetês,1980,1981,19h,Globo,THE STRANGERS,Genghis Khan,tema de Luísa
Plumas e Paetês,1980,1981,19h,Globo,NO NIGHT SO LONG,Dionne Warwick,tema de Marcela e Edgar
Plumas e Paetês,1980,1981,19h,Globo,MODERN GIRL,Sheena Easton,tema de Veroca
Plumas e Paetês,1980,1981,19h,Globo,SURE SHOT,Crown Heights Affair,
Plumas e Paetês,1980,1981,19h,Globo,MAGIA,Pippo y Monica,tema de Rebeca e Gino
Plumas e Paetês,1980,1981,19h,Globo,GOODNIGHT MY LOVE,Mike Pinera,tema de Renato e Amanda
Plumas e Paetês,1980,1981,19h,Globo,NOW’S THE TIME,Stephan,tema de Dorinha e Francis
Plumas e Paetês,1980,1981,19h,Globo,SUN OF JAMAICA,Goombay Dance Band,tema de locação e dos desfiles de moda
Plumas e Paetês,1980,1981,19h,Globo,SPECIAL LADY,"Ray, Goodman and Brown",tema de Amanda
Plumas e Paetês,1980,1981,19h,Globo,DO RIGHT,Paul Davis,tema de Jorge Luís e Nadir
