novel,year_star,year_end,time,TV,name_music,artist_music,obs
Plumas e Paetês,1980,1981,19h,Globo,NOSSO ESTRANHO AMOR,Marina e Caetano Veloso,tema de Amanda e Renato
Plumas e Paetês,1980,1981,19h,Globo,NOVA MANHÃ,14 Bis,tema de Jorge Luís e Nadir
Plumas e Paetês,1980,1981,19h,Globo,QUEM TEM A VIOLA,Boca Livre,tema de Renato
Plumas e Paetês,1980,1981,19h,Globo,QUERO QUERO,Cláudio Nucci,tema de Gino
Plumas e Paetês,1980,1981,19h,Globo,DE ONDE VEM,Black Rio,tema de Veroca
Plumas e Paetês,1980,1981,19h,Globo,SEMENTE DO AMOR,A Cor do Som,tema de Lídia e Ângelo
Plumas e Paetês,1980,1981,19h,Globo,A MESMA PORTA,Gilson,tema de Dorinha
Plumas e Paetês,1980,1981,19h,Globo,PRÊT-À-PORTER,Robson Jorge,tema geral e tema das vinhetas de intervalo
Plumas e Paetês,1980,1981,19h,Globo,"MEU AMIGO, MEU HERÓI",Zizi Possi,tema de Marcela
Plumas e Paetês,1980,1981,19h,Globo,FRACASSO,Gilliard,tema de Rebeca
Plumas e Paetês,1980,1981,19h,Globo,AROMA,Lúcia Turnbull,tema de Sandra
Plumas e Paetês,1980,1981,19h,Globo,MELÔ DE AMOR,Luiz Maurício (Lulu Santos),tema de Zeca
Plumas e Paetês,1980,1981,19h,Globo,TE DEI DEMAIS,Felipe Neto,tema de Marcela e Edgar
Plumas e Paetês,1980,1981,19h,Globo,PLUMAS & PAETÊS,Ronaldo Resedá,tema de abertura
