novel,year_star,year_end,time,TV,name_music,artist_music,obs
Que Rei Sou Eu?,1989,1989,19h,Globo,ETERNAL FLAME,Bangles,tema da Princesa Juliette
Que Rei Sou Eu?,1989,1989,19h,Globo,HOW CAN I GO ON?,Freddie Mercury & Montserrat Caballé,tema da Rainha Valentine
Que Rei Sou Eu?,1989,1989,19h,Globo,SOMEDAY WE’LL BE TOGETHER (EL CAMIÑO),Santa Fé,tema de Suzanne
Que Rei Sou Eu?,1989,1989,19h,Globo,BAMBOLEO,Gipsy Kings,tema de locação: taberna de Loulou
Que Rei Sou Eu?,1989,1989,19h,Globo,I’LL ALWAYS LOVE YOU,Taylor Dayne,tema romântico geral
Que Rei Sou Eu?,1989,1989,19h,Globo,LES CHEMINS D’AMOUR,Matisse,tema dos rebeldes
Que Rei Sou Eu?,1989,1989,19h,Globo,ORINOCO FLOW,Enya,tema de Roland Barral
Que Rei Sou Eu?,1989,1989,19h,Globo,ESPECIALLY FOR YOU,Kylie Minogue & Jason Donovan,tema romântico geral
Que Rei Sou Eu?,1989,1989,19h,Globo,LIKE A CHILD,Noel,tema de locação: palácio de Avilan
Que Rei Sou Eu?,1989,1989,19h,Globo,LET THE RIVER RUN,Carly Simon,
Que Rei Sou Eu?,1989,1989,19h,Globo,TURN TURN TURN,Herrey’s,tema de Michel
Que Rei Sou Eu?,1989,1989,19h,Globo,WHEN I FALL IN LOVE,Lil Consant,
Que Rei Sou Eu?,1989,1989,19h,Globo,AMERICAN BARS,Leo Robinson,
Que Rei Sou Eu?,1989,1989,19h,Globo,PATIENCE,Guns N’Roses,tema de Aline e Jean-Piérre
