novel,year_star,year_end,time,TV,name_music,artist_music,obs
Que Rei Sou Eu?,1989,1989,19h,Globo,NOSSA LUZ,Fagner,tema de Aline
Que Rei Sou Eu?,1989,1989,19h,Globo,CHAMA,Roupa Nova,tema de Bergeron
Que Rei Sou Eu?,1989,1989,19h,Globo,MEDIEVAL 2,Léo Jaime,tema de Crespi Aubriet
Que Rei Sou Eu?,1989,1989,19h,Globo,RENASCER,Zizi Possi,tema de Juliette
Que Rei Sou Eu?,1989,1989,19h,Globo,ESPANHOLA,Kleiton & Kledir,tema de Loulou Lion
Que Rei Sou Eu?,1989,1989,19h,Globo,NUNCA É TARDE PRA SONHAR,Eddy Benedict (Edinho Santa Cruz),tema de Charlotte
Que Rei Sou Eu?,1989,1989,19h,Globo,CIGANA,Carla Daniel,tema das meninas da taverna
Que Rei Sou Eu?,1989,1989,19h,Globo,RAP DO REI,Luni,tema de abertura
Que Rei Sou Eu?,1989,1989,19h,Globo,BYE BYE TRISTEZA,Sandra de Sá,tema de Suzanne
Que Rei Sou Eu?,1989,1989,19h,Globo,"AS MURALHAS DO TEU QUARTO SÃO BEM ALTAS, MAS EU POSSO TE ALCANÇAR",Wando,tema de Lucy
Que Rei Sou Eu?,1989,1989,19h,Globo,FINGE QUE NÃO FALOU,Nico Rezende,tema de Madeleine
Que Rei Sou Eu?,1989,1989,19h,Globo,A DAMA E O VAGABUNDO,Zé Lourenço,tema de Pichot
Que Rei Sou Eu?,1989,1989,19h,Globo,RAÇA DE HERÓIS,Guilherme Arantes,tema de Jean-Piérre
Que Rei Sou Eu?,1989,1989,19h,Globo,FLECHA,Sagrado Coração da Terra,tema geral
Que Rei Sou Eu?,1989,1989,19h,Globo,QUE REI SOU EU?,Eduardo Dussek (participação especial Luni),tema geral
