novel,year_star,year_end,time,TV,name_music,artist_music,obs
Roda de Fogo,1986,1987,20h,Tupi,SWEET FREEDOM,Michael McDonald,tema de Mário
Roda de Fogo,1986,1987,20h,Tupi,WITH YOU ALL THE WAY,New Edition,tema de Helena
Roda de Fogo,1986,1987,20h,Tupi,INVISIBLE TOUCH,Genesis,
Roda de Fogo,1986,1987,20h,Tupi,COLORS ON MY BLUES,Reno Scott,tema de Carolina
Roda de Fogo,1986,1987,20h,Tupi,"NEW YORK, RIO, TOKYO",Trio Rio,tema de Tabaco
Roda de Fogo,1986,1987,20h,Tupi,YOU CAN’T GET OUT OF MY HEART,Mike Francis,tema de Renato e Lúcia
Roda de Fogo,1986,1987,20h,Tupi,SLEDGEHAMMER,Peter Gabriel,
Roda de Fogo,1986,1987,20h,Tupi,HOLDING BACK THE YEARS,Simply Red,tema de Carolina
Roda de Fogo,1986,1987,20h,Tupi,THE FINEST,The S.O.S. Band,
Roda de Fogo,1986,1987,20h,Tupi,ANCORA CON TE,Pepino Di Capri,tema de Maura
Roda de Fogo,1986,1987,20h,Tupi,SAHARA NIGHT,F. R. David,
Roda de Fogo,1986,1987,20h,Tupi,WHY WORRY,Dire Straits,tema de Ana Maria e Pedro
Roda de Fogo,1986,1987,20h,Tupi,IT WON’T BE THE SAME OLD PLACE,James Warren,
Roda de Fogo,1986,1987,20h,Tupi,IF LOOKS COULD KILL,Heart,
