novel,year_star,year_end,time,TV,name_music,artist_music,obs
Roda de Fogo,1986,1987,20h,Tupi,EM FLOR (TOO YOUNG),Simone,tema de Maura
Roda de Fogo,1986,1987,20h,Tupi,VOCÊ,Os Paralamas do Sucesso,tema de Laís
Roda de Fogo,1986,1987,20h,Tupi,TEMA DE ANA MARIA,Clock,
Roda de Fogo,1986,1987,20h,Tupi,VOCÊ SE ESCONDE,Rádio Táxi,tema de Pedro
Roda de Fogo,1986,1987,20h,Tupi,VIVER É DEIXAR ROLAR O SENTIMENTO,Wando,tema de Júnior e Vera
Roda de Fogo,1986,1987,20h,Tupi,PRA COMEÇAR,Marina,tema de abertura *
Roda de Fogo,1986,1987,20h,Tupi,TRANSAS,Ritchie,tema de Renato Villar e Lúcia Brandão
Roda de Fogo,1986,1987,20h,Tupi,ALGUÉM,Kiko Zambianchi,tema de Tabaco
Roda de Fogo,1986,1987,20h,Tupi,FACHO DE ESPERANÇA,Marçal,tema de Gilson e Joana
Roda de Fogo,1986,1987,20h,Tupi,SEGREDO,Djavan,tema de Telma
Roda de Fogo,1986,1987,20h,Tupi,NEM UM TOQUE,Rosana,tema de Helena
Roda de Fogo,1986,1987,20h,Tupi,MÚSICA URBANA,Capital Inicial,tema geral
