novel,year_star,year_end,time,TV,name_music,artist_music,obs
Roque Santeiro,1985,1985,20h,Globo,MALANDRO SOU EU,Beth Carvalho,tema de Roque
Roque Santeiro,1985,1985,20h,Globo,COISAS DO CORAÇÃO,Ritchie,
Roque Santeiro,1985,1985,20h,Globo,PELO SIM PELO NÃO,Cláudio Nucci e Zé Renato,tema de Sinhozinho Malta
Roque Santeiro,1985,1985,20h,Globo,VITORIOSA,Ivan Lins,tema de Lulu
Roque Santeiro,1985,1985,20h,Globo,FRUTA MULHER,Nana Caymmi,
Roque Santeiro,1985,1985,20h,Globo,VERDADES E MENTIRAS,Sá & Guarabira,tema de locação: Asa Branca
Roque Santeiro,1985,1985,20h,Globo,MIL E UMA NOITES DE AMOR,Pepeu Gomes,tema de Linda e Gérson
Roque Santeiro,1985,1985,20h,Globo,A HORA E A VEZ,Cláudio Nucci e Zé Renato,tema de Porcina
Roque Santeiro,1985,1985,20h,Globo,MAL NENHUM,Joanna,tema de Ninon e Delegado Feijó
Roque Santeiro,1985,1985,20h,Globo,ENTRA E SAI DE AMOR,ALtay Velloso,tema de Tânia e Padre Albano
Roque Santeiro,1985,1985,20h,Globo,AMPARITO AMOR,Cauby Peixoto,tema de Amparito Hernandez
Roque Santeiro,1985,1985,20h,Globo,MAL DE RAIZ,MPB4,tema de Mocinha
