novel,year_star,year_end,time,TV,name_music,artist_music,obs
Roque Santeiro,1975,1975,20h,Globo,ISSO AQUI TÁ BOM DEMAIS,Dominguinhos (participação especial Chico Buarque),tema de Sinhozinho Malta
Roque Santeiro,1975,1975,20h,Globo,A OUTRA,Simone,tema de Lulu
Roque Santeiro,1975,1975,20h,Globo,SEM PECADO E SEM JUIZO,Baby Consuêlo,tema de Linda e Gérson
Roque Santeiro,1975,1975,20h,Globo,CHORA CORAÇÃO,Wando,tema de Mocinha
Roque Santeiro,1975,1975,20h,Globo,MISTÉRIOS DA MEIA-NOITE,Zé Ramalho,tema do lobisomem
Roque Santeiro,1975,1975,20h,Globo,SANTA FÉ,Moraes Moreira,tema de abertura
Roque Santeiro,1975,1975,20h,Globo,DONA,Roupa Nova,tema de Porcina
Roque Santeiro,1975,1975,20h,Globo,DE VOLTA PRO ACONCHEGO,Elba Ramalho,tema de Roque
Roque Santeiro,1975,1975,20h,Globo,INDECENTE,Anne Duá,tema de Matilde
Roque Santeiro,1975,1975,20h,Globo,CORAÇÃO APRENDIZ,Fafá de Belém,tema de Tânia
Roque Santeiro,1975,1975,20h,Globo,ROQUE SANTEIRO,Sá & Guarabira,tema de locação: Asa Branca
Roque Santeiro,1975,1975,20h,Globo,CÓPIAS MAL FEITAS,Alceu Valença,
