novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sassaricando,1987,1988,19h,Globo,PARADISE IS HERE,Tina Turner,tema de Tancinha
Sassaricando,1987,1988,19h,Globo,JUST TO SEE HER,Smokey Robinson,tema de Diana e Tavinho
Sassaricando,1987,1988,19h,Globo,BREAK OUT,Swing Out Sisters,tema de locação: São Paulo
Sassaricando,1987,1988,19h,Globo,LOVING YOU AGAIN,Chris Rea,tema de Aprígio
Sassaricando,1987,1988,19h,Globo,GIVE ME ALL NIGHT,Carly Simon,tema de Leonora
Sassaricando,1987,1988,19h,Globo,MILKY WAY,Peter Dominic,tema de Dinalda e Ariovaldo
Sassaricando,1987,1988,19h,Globo,FATA MORGANA,Dessidenten,tema de Fedora
Sassaricando,1987,1988,19h,Globo,WE’LL BE TOGETHER,Sting,tema de Guel
Sassaricando,1987,1988,19h,Globo,(I’VE HAD) THE TIME OF MY LIFE,Bill Medley & Jennifer Warnes,tema de locação: boate de Ela
Sassaricando,1987,1988,19h,Globo,CALL ME,Spagna,tema de locação: Escola Femina
Sassaricando,1987,1988,19h,Globo,UNCHAIN MY HEART,Joe Cocker,tema de Camila
Sassaricando,1987,1988,19h,Globo,FINITO,Rita Pavone,tema de Aldonza
Sassaricando,1987,1988,19h,Globo,LOVE’S CLOSING IN,Nick Jameson,tema de locação: São Paulo
Sassaricando,1987,1988,19h,Globo,ONE MORE NIGHT,Ana Rodriguez,tema de Penélope e Tadeu
