novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sassaricando,1987,1988,19h,Globo,OURO,Guilherme Arantes,tema de Camila
Sassaricando,1987,1988,19h,Globo,SEU CORPO,Simone,tema de Penélope e Tadeu
Sassaricando,1987,1988,19h,Globo,NEM TANTO TEMPO ASSIM,Eduardo Dussek,tema de Rebeca
Sassaricando,1987,1988,19h,Globo,ESTRANHA LOUCURA,Alcione,tema de Aldonza
Sassaricando,1987,1988,19h,Globo,VOCÊ PERDE,Kico Zambianchi,tema de Leonardo
Sassaricando,1987,1988,19h,Globo,TRAUMA,Clínica,tema de Beto
Sassaricando,1987,1988,19h,Globo,SASSARICANDO,Rita Lee & Roberto de Carvalho,tema de abertura
Sassaricando,1987,1988,19h,Globo,LAMBADAS III (NEGUE / TI-TI-TI / SÓ VAI DAR VOCÊ / CHEIRO NO CANGOTE / FORRÓ GOSTOSO),Fafá de Belém,tema de Tancinha
Sassaricando,1987,1988,19h,Globo,LUA DE MEL,Lulu Santos,tema de Fedora e Leonardo
Sassaricando,1987,1988,19h,Globo,VEM ME PERDOAR,Moraes Moreira,tema de Tavinho e Diana
Sassaricando,1987,1988,19h,Globo,CANTANDO NO TORÓ,Chico Buarque,tema de Guel
Sassaricando,1987,1988,19h,Globo,TIRO AO ÁLVARO,Adoniran Barbosa (participação especial Elis Regina),tema de Juana e Adonis
Sassaricando,1987,1988,19h,Globo,SOLAMENTE UNA VEZ,Eduardo Souto Neto,tema de Aparício
Sassaricando,1987,1988,19h,Globo,AS ROUPAS E O MUNDO NO CHÃO,Evandro Mesquita,tema de Leonora
Sassaricando,1987,1988,19h,Globo,CHEIRO DE AMOR,Luiz Camilo,tema de Isabel
