novel,year_star,year_end,time,TV,name_music,artist_music,obs
Selva de Pedra (1986),1986,1986,20h,Globo,PERIGO,Zizi Possi,tema de Fernanda
Selva de Pedra (1986),1986,1986,20h,Globo,NA SELVA DAS CIDADES,Joe Euthanázia,tema de Cristiano
Selva de Pedra (1986),1986,1986,20h,Globo,DEMAIS,Verônica Sabino,tema de Simone
Selva de Pedra (1986),1986,1986,20h,Globo,MATE-ME DEPRESSA,Marina,tema de Laura
Selva de Pedra (1986),1986,1986,20h,Globo,SEDE DOS MARUJOS,Ivan Lins,tema de Joseph e Beatriz
Selva de Pedra (1986),1986,1986,20h,Globo,TUDO EM VOCÊ,Beto Guedes,tema de Diva
Selva de Pedra (1986),1986,1986,20h,Globo,TUDO BEM,Lulu Santos,tema de Cíntia
Selva de Pedra (1986),1986,1986,20h,Globo,NÁUFRAGOS DO AMOR,Cheque Especial,tema de Caio
Selva de Pedra (1986),1986,1986,20h,Globo,MALANDRO AGULHA,Blitz,tema de Miro
Selva de Pedra (1986),1986,1986,20h,Globo,MAMÃO COM MEL,Gonzaguinha,tema de Jorge Moreno
Selva de Pedra (1986),1986,1986,20h,Globo,A GAROTA DO TEATRO REBOLADO,Zé Rodrix,tema de Fanny
Selva de Pedra (1986),1986,1986,20h,Globo,TODA MADRUGADA,Renato Terra,
Selva de Pedra (1986),1986,1986,20h,Globo,ROCK AND ROLL LULLABY,Freesounds,tema de abertura*
