novel,year_star,year_end,time,TV,name_music,artist_music,obs
Selva de Pedra (1986),1972,1973,20h,Globo,I’LL NEVER BE (MARIA MAGDALENA),Sandra,tema de locação: boate e editorial de moda
Selva de Pedra (1986),1972,1973,20h,Globo,BROKEN WINGS,Mr. Mister,tema de Fernanda e Caio
Selva de Pedra (1986),1972,1973,20h,Globo,ON THE RUN (BROTHER HOLD ON),Billy Ocean,tema de Miro
Selva de Pedra (1986),1972,1973,20h,Globo,THE SWEETEST TABOO,Sade,
Selva de Pedra (1986),1972,1973,20h,Globo,YES,Tim Moore,tema de Simone e Cristiano
Selva de Pedra (1986),1972,1973,20h,Globo,WEST END GIRLS,Pet Shop Boys,
Selva de Pedra (1986),1972,1973,20h,Globo,ONLY LOVE,Nana Mouskouri,
Selva de Pedra (1986),1972,1973,20h,Globo,INBETWEEN DAYS,The Cure,
Selva de Pedra (1986),1972,1973,20h,Globo,NIKITA,Elton John,
Selva de Pedra (1986),1972,1973,20h,Globo,DUEL,Propaganda,
Selva de Pedra (1986),1972,1973,20h,Globo,DIG DIG IT UP,French Connection (featuring Claude Vallois and Judy Kael),tema de Flávia e Guido
Selva de Pedra (1986),1972,1973,20h,Globo,WHEN THE NIGHT CLOSES IN,Secret Service,
Selva de Pedra (1986),1972,1973,20h,Globo,TAKE IN,Mike + The Mechanics,
Selva de Pedra (1986),1972,1973,20h,Globo,ROCK AND ROLL LULLABY,B. J. Thomas,"tema de Simone e Cristiano, na última cena da novela"
