novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sinhá Moça (1986),1986,1986,18h,Globo,SINHANINHA,Ronnie Von (tema de Sinhá Moça),
Sinhá Moça (1986),1986,1986,18h,Globo,"ZUMBI, A FELICIDADE GUERREIRA",Gilberto Gil (tema dos escravos),
Sinhá Moça (1986),1986,1986,18h,Globo,AI QUEM ME DERA,Clara Nunes (tema de Ana),
Sinhá Moça (1986),1986,1986,18h,Globo,MINHA ALDEIA,Sérgio Souto (tema de Rafael),
Sinhá Moça (1986),1986,1986,18h,Globo,PAPO DE PASSARIM,Cláudio Nucci e Zé Renato (tema de Mário),
Sinhá Moça (1986),1986,1986,18h,Globo,DEPOIS DA PRIMEIRA VEZ,Toninho Negreiro (tema de Juliana),
Sinhá Moça (1986),1986,1986,18h,Globo,PRA NÃO MAIS VOLTAR,Fafá de Belém (tema de abertura),
Sinhá Moça (1986),1986,1986,18h,Globo,GINGA ANGOLA,Roberto Ribeiro (tema geral),
Sinhá Moça (1986),1986,1986,18h,Globo,ORAÇÃO NOS MATAGAIS,Altay Veloso (tema de Sinhá Moça e Rodolfo),
Sinhá Moça (1986),1986,1986,18h,Globo,COMPANHEIROS,Denise Emmer (tema de Rodolfo),
Sinhá Moça (1986),1986,1986,18h,Globo,NA RIBEIRA DESTE RIO,Dori Caymmi (tema do Barão de Araruna),
Sinhá Moça (1986),1986,1986,18h,Globo,AMOR DE PAPEL,Vicente Barreto (tema de Adelaide),
Sinhá Moça (1986),1986,1986,18h,Globo,CAMARÁ,Wálter Queiróz (tema de Justino),
Sinhá Moça (1986),1986,1986,18h,Globo,AVENTUREIRO,Antônio Carlos e Jocafi (tema de Ricardo),
