novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sol de Verão,1982,1983,20h,Globo,BABY I NEED YOUR LOVIN’,Carl Carlton,tema de locação: Rio de Janeiro
Sol de Verão,1982,1983,20h,Globo,DON’T LOOK BACK,The Korgis,tema de Raquel
Sol de Verão,1982,1983,20h,Globo,ÊTRE,Charles Aznavour,tema de Laura
Sol de Verão,1982,1983,20h,Globo,I DON’T WANNA DANCE,Eddy Grant,tema de locação: Rio de Janeiro
Sol de Verão,1982,1983,20h,Globo,HARD TO SAY I’M SORRY,Chicago,tema de Clara e Abel
Sol de Verão,1982,1983,20h,Globo,WOT?,Captain Sensible,
Sol de Verão,1982,1983,20h,Globo,HYPNOS,Future World Orchestra,tema romântico geral
Sol de Verão,1982,1983,20h,Globo,SITUATION,Yazoo,tema de locação: Rio de Janeiro
Sol de Verão,1982,1983,20h,Globo,SAVE A PRAYER,Duran Duran,tema de Miguel
Sol de Verão,1982,1983,20h,Globo,VOYEUR,Kim Carnes,
Sol de Verão,1982,1983,20h,Globo,LOVE LEADS TO MADNESS,Nazareth,
Sol de Verão,1982,1983,20h,Globo,LOVE AND MY BEST FRIEND,Janet Jackson,tema de Olívia
Sol de Verão,1982,1983,20h,Globo,DO THAT TO ME ONE MORE TIME,Latimore,
Sol de Verão,1982,1983,20h,Globo,FALLIN’ LOVE,Sunset,tema de Abel
