novel,year_star,year_end,time,TV,name_music,artist_music,obs
Sol de Verão,1982,1983,20h,Globo,VOCÊ NÃO SOUBE ME AMAR,Blitz,
Sol de Verão,1982,1983,20h,Globo,MUITO ESTRANHO,Dalto,tema de Abel e Clara
Sol de Verão,1982,1983,20h,Globo,BILHETE,Fafá de Belém,tema de Raquel
Sol de Verão,1982,1983,20h,Globo,TEMPO QUENTE,Ricardo Graça Mello,
Sol de Verão,1982,1983,20h,Globo,TEMPOS MODERNOS,Lulu Santos,tema de Abel
Sol de Verão,1982,1983,20h,Globo,QUESTÃO DE TEMPO,Nara Leão,tema e Glorinha
Sol de Verão,1982,1983,20h,Globo,TÔ QUE TÔ,Simone,tema de abertura
Sol de Verão,1982,1983,20h,Globo,ESFINGE,Djavan,
Sol de Verão,1982,1983,20h,Globo,O MELHOR VAI COMEÇAR,Guilherme Arantes,
Sol de Verão,1982,1983,20h,Globo,TENDÊNCIA,Beth Carvalho,tema de Heitor
Sol de Verão,1982,1983,20h,Globo,TAL QUAL EU SOU,Lucinha Araújo (participação especial Vital Lima),
Sol de Verão,1982,1983,20h,Globo,COISAS DE CASAL,Rádio Táxi,tema de Raquel e Virgílio
Sol de Verão,1982,1983,20h,Globo,SÓ O TEMPO,Paulinho da Viola,tema de Raquel e Heitor
Sol de Verão,1982,1983,20h,Globo,SUMIDA,Wando,
